Ref,Type,Date,accCode,accHead,Amount,Comm,traDate,action,brand,department,country
2300001,dl,1/30/2023,60110001,Cogs1,3900,SVTA Radio Hand Pice 1 to Spaces Spa Center,2023-5-29 21-39-54, ,0,0,0
2300001,dl,1/30/2023,37000001,Inventory at Cost,-3900,SVTA Radio Hand Pice 1 to Spaces Spa Center,2023-5-29 21-39-54, ,0,0,0
2300002,dl,1/18/2023,60110001,Cogs1,36725,Microneedling RF and RF Fractional Laser to Al Jameya Pharmacy,2023-5-29 21-40-11, ,0,0,0
2300002,dl,1/18/2023,37000001,Inventory at Cost,-36725,Microneedling RF and RF Fractional Laser to Al Jameya Pharmacy,2023-5-29 21-40-11, ,0,0,0
2300003,dl,1/23/2023,60110001,Cogs1,25850,Microneedling RF and HandPiece to Women's Medical Center (Dr. Ameena),2023-5-29 21-40-26, ,0,0,0
2300003,dl,1/23/2023,37000001,Inventory at Cost,-25850,Microneedling RF and HandPiece to Women's Medical Center (Dr. Ameena),2023-5-29 21-40-26, ,0,0,0
2300004,dl,1/28/2023,60110001,Cogs1,64000,RF Fractional CO2 Laser and Handpiece to Al Noor Pharmacy,2023-5-29 21-40-46, ,0,0,0
2300004,dl,1/28/2023,37000001,Inventory at Cost,-64000,RF Fractional CO2 Laser and Handpiece to Al Noor Pharmacy,2023-5-29 21-40-46, ,0,0,0
2300005,dl,2/16/2023,60110001,Cogs1,5500,SVTA Radio Hand Pice 3 & 4,2023-5-29 21-41-3, ,0,0,0
2300005,dl,2/16/2023,37000001,Inventory at Cost,-5500,SVTA Radio Hand Pice 3 & 4,2023-5-29 21-41-3, ,0,0,0
2300006,dl,1/22/2023,60110001,Cogs1,41000,Deod Leaserto Al Jameya Pharmacy,2023-5-29 21-43-44, ,0,0,0
2300006,dl,1/22/2023,37000001,Inventory at Cost,-41000,Deod Leaserto Al Jameya Pharmacy,2023-5-29 21-43-44, ,0,0,0
