id,siRef,sno,itmCod,desc,qty,price,disc,tot,vat,traDate,action,unique,siDat,cusCode,cusName,spCode,spCName,dlRef,Sales,wac,supplier
2300001,2300001,1,10001000,Microneedling RF,1,31465,2465,30450.0,1450.0,2023-5-29 22-27-46,,2300003 10001000,2023-01-24,22310093.0,Women's Medical Center (Dr. Ameena),370.0,Ariel Abapo Naciogoyo,2300003,29000.0,22665.15495,Adss Laser Co
2300001,2300001,2,10001001,Microneedling RF - HandPiece,1,4725,650,4278.75,203.75,2023-5-29 22-27-46,,2300003 10001001,2023-01-24,22310093.0,Women's Medical Center (Dr. Ameena),370.0,Ariel Abapo Naciogoyo,2300003,4075.0,3184.845049,Adss Laser Co
2300002,2300002,1,10004000,RF Fractional CO2 Laser,1,81900,2900,82950.0,3950.0,2023-5-29 22-28-1,,2300004 10004000,2023-01-29,22310055.0,Al Noor Pharmacy,366.0,Franco Viola Parota,2300004,79000.0,58518.51852,Skin for Life LLC
2300002,2300002,2,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,300,7770.0,370.0,2023-5-29 22-28-1,,2300004 10004001,2023-01-29,22310055.0,Al Noor Pharmacy,366.0,Franco Viola Parota,2300004,7400.0,5481.481481,Skin for Life LLC
2300003,2300003,1,10018001,SVTA Radio Hand Pice 1,2,1680,360,3150.0,150.0,2023-5-29 22-28-14,,2300001 10018001,2023-02-01,22310182.0,Spaces Spa Center,370.0,Ariel Abapo Naciogoyo,2300001,3000.0,2437.5,SPA and Co LLC
2300003,2300003,2,10018002,SVTA Radio Hand Pice 2,1,2100,300,1890.0,90.0,2023-5-29 22-28-14,,2300001 10018002,2023-02-01,22310182.0,Spaces Spa Center,370.0,Ariel Abapo Naciogoyo,2300001,1800.0,1462.5,SPA and Co LLC
2300004,2300004,1,10001000,Microneedling RF,1,31465,2465,30450.0,1450.0,2023-5-29 22-28-39,,2300002 10001000,2023-01-19,22310029.0,Al Jameya Pharmacy,365.0,Allen Joseph Anora,2300002,29000.0,23458.70044,Adss Laser Co
2300004,2300004,2,10001001,Microneedling RF - HandPiece,2,4725,1450,8400.0,400.0,2023-5-29 22-28-39,,2300002 10001001,2023-01-19,22310029.0,Al Jameya Pharmacy,365.0,Allen Joseph Anora,2300002,8000.0,6471.365639,Adss Laser Co
2300004,2300004,3,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,1700,6300.0,300.0,2023-5-29 22-28-39,,2300002 10004001,2023-01-19,22310029.0,Al Jameya Pharmacy,365.0,Allen Joseph Anora,2300002,6000.0,4853.524229,Skin for Life LLC
2300004,2300004,4,10004002,RF Fractional CO2 Laser - Accessories,2,1400,400,2520.0,120.0,2023-5-29 22-28-39,,2300002 10004002,2023-01-19,22310029.0,Al Jameya Pharmacy,365.0,Allen Joseph Anora,2300002,2400.0,1941.409692,Skin for Life LLC
2300005,2300005,1,10018007,SVTA Radio Hand Pice 7,2,2520,500,4767.0,227.0,2023-5-29 22-28-59,,2300007 10018007,2023-02-28,22310097.0,Sahar Pharmacy,365.0,Allen Joseph Anora,2300007,4540.0,3676.245073,SPA and Co LLC
2300005,2300005,2,10018008,SVTA Radio Hand Pice 8,1,1400,30,1438.5,68.5,2023-5-29 22-28-59,,2300007 10018008,2023-02-28,22310097.0,Sahar Pharmacy,365.0,Allen Joseph Anora,2300007,1370.0,1109.351487,SPA and Co LLC
2300005,2300005,3,10018000,SVTA Radio,1,25200,3200,23100.0,1100.0,2023-5-29 22-28-59,,2300007 10018000,2023-02-28,22310097.0,Sahar Pharmacy,365.0,Allen Joseph Anora,2300007,22000.0,17814.40344,SPA and Co LLC
2300006,2300006,1,10018003,SVTA Radio Hand Pice 3,3,1960,1880,4200.0,200.0,2023-5-29 22-29-9,,2300005 10018003,2023-02-17,22310200.0,German Clinic FZ LLC,894.0,Dev Kumar Rai,2300005,4000.0,4000.0,SPA and Co LLC
2300006,2300006,2,10018004,SVTA Radio Hand Pice 4,1,1820,320,1575.0,75.0,2023-5-29 22-29-9,,2300005 10018004,2023-02-17,22310200.0,German Clinic FZ LLC,894.0,Dev Kumar Rai,2300005,1500.0,1500.0,SPA and Co LLC
2300007,2300007,1,10008000,DeodLeaser,1,15400,300,15855.0,755.0,2023-5-29 22-29-30,,2300006 10008000,2023-01-23,22310029.0,Al Jameya Pharmacy,370.0,Ariel Abapo Naciogoyo,2300006,15100.0,11125.88732,Deod and Co LLC
2300007,2300007,2,10009001,G5 Slimming Applicators,1,2800,255,2672.25,127.25,2023-5-29 22-29-30,,2300006 10009001,2023-01-23,22310029.0,Al Jameya Pharmacy,370.0,Ariel Abapo Naciogoyo,2300006,2545.0,1875.190943,G5  and Co LLC
2300007,2300007,3,10014000,Konmision,1,39200,1200,39900.0,1900.0,2023-5-29 22-29-30,,2300006 10014000,2023-01-23,22310029.0,Al Jameya Pharmacy,370.0,Ariel Abapo Naciogoyo,2300006,38000.0,27998.92174,Konmision and Co LLC
2300008,2300008,1,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,500,7560.0,360.0,2023-5-29 22-29-42,,2300010 10004001,2023-02-05,22310097.0,Sahar Pharmacy,415.0,Tampos Antonio Magalona,2300010,7200.0,5410.821643,Skin for Life LLC
2300008,2300008,2,10004002,RF Fractional CO2 Laser - Accessories,2,1400,20,2919.0,139.0,2023-5-29 22-29-42,,2300010 10004002,2023-02-05,22310097.0,Sahar Pharmacy,415.0,Tampos Antonio Magalona,2300010,2780.0,2089.178357,Skin for Life LLC
2300009,2300009,1,10007000,Crio Lipo,1,36400,3400,34650.0,1650.0,2023-5-29 22-29-56,,2300008 10007000,2023-02-12,22310200.0,German Clinic FZ LLC,894.0,Dev Kumar Rai,2300008,33000.0,26486.84211,Crio and Co LLC
2300009,2300009,2,10008001,DeodLeaser Hand Piece,3,2100,1300,5250.0,250.0,2023-5-29 22-29-56,,2300008 10008001,2023-02-12,22310200.0,German Clinic FZ LLC,894.0,Dev Kumar Rai,2300008,5000.0,4013.157895,Deod and Co LLC
2300010,2300010,1,10007000,Crio Lipo,1,36400,4400,33600.0,1600.0,2023-5-29 22-30-10,,2300009 10007000,2023-02-08,22310131.0,Ali Bin Ali Medical,329.0,Sanjay Kumar Mandal,2300009,32000.0,26035.50296,Crio and Co LLC
2300010,2300010,2,10008001,DeodLeaser Hand Piece,1,2100,300,1890.0,90.0,2023-5-29 22-30-10,,2300009 10008001,2023-02-08,22310131.0,Ali Bin Ali Medical,329.0,Sanjay Kumar Mandal,2300009,1800.0,1464.497041,Deod and Co LLC
2300011,2300011,1,10008000,DeodLeaser,1,15400,2400,13650.0,650.0,2023-5-29 22-30-22,,2300012 10008000,2023-02-02,22310133.0,Al Samnan Clinic,598.0,Allen Madrid Gomez,2300012,13000.0,10861.18252,Deod and Co LLC
2300011,2300011,2,10009001,G5 Slimming Applicators,1,2800,240,2688.0,128.0,2023-5-29 22-30-22,,2300012 10009001,2023-02-02,22310133.0,Al Samnan Clinic,598.0,Allen Madrid Gomez,2300012,2560.0,2138.817481,G5  and Co LLC
2300012,2300012,1,10018004,SVTA Radio Hand Pice 4,1,1820,220,1680.0,80.0,2023-5-29 22-30-43,,2300011 10018004,2023-02-24,22310093.0,Women's Medical Center (Dr. Ameena),417.0,Jaime  Endaya,2300011,1600.0,1288.888889,SPA and Co LLC
2300012,2300012,2,10018005,SVTA Radio Hand Pice 5,1,2240,240,2100.0,100.0,2023-5-29 22-30-43,,2300011 10018005,2023-02-24,22310093.0,Women's Medical Center (Dr. Ameena),417.0,Jaime  Endaya,2300011,2000.0,1611.111111,SPA and Co LLC
2300013,2300013,1,10018000,SVTA Radio,1,25200,500,25935.0,1235.0,2023-5-29 22-30-53,,2300015 10018000,2023-02-03,22310131.0,Ali Bin Ali Medical,1008.0,Jalil Khadim Hussain,2300015,24700.0,18366.06292,SPA and Co LLC
2300013,2300013,2,10018001,SVTA Radio Hand Pice 1,1,1680,180,1575.0,75.0,2023-5-29 22-30-53,,2300015 10018001,2023-02-03,22310131.0,Ali Bin Ali Medical,1008.0,Jalil Khadim Hussain,2300015,1500.0,1115.34795,SPA and Co LLC
2300013,2300013,3,10018002,SVTA Radio Hand Pice 2,1,2100,200,1995.0,95.0,2023-5-29 22-30-53,,2300015 10018002,2023-02-03,22310131.0,Ali Bin Ali Medical,1008.0,Jalil Khadim Hussain,2300015,1900.0,1412.774071,SPA and Co LLC
2300013,2300013,4,10018003,SVTA Radio Hand Pice 3,1,1960,190,1858.5,88.5,2023-5-29 22-30-53,,2300015 10018003,2023-02-03,22310131.0,Ali Bin Ali Medical,1008.0,Jalil Khadim Hussain,2300015,1770.0,1316.110582,SPA and Co LLC
2300013,2300013,5,10018004,SVTA Radio Hand Pice 4,1,1820,220,1680.0,80.0,2023-5-29 22-30-53,,2300015 10018004,2023-02-03,22310131.0,Ali Bin Ali Medical,1008.0,Jalil Khadim Hussain,2300015,1600.0,1189.70448,SPA and Co LLC
2300014,2300014,1,10017000,SPA Slim,1,8400,400,8400.0,400.0,2023-5-29 22-31-7,,2300013 10017000,2023-03-16,22310093.0,Women's Medical Center (Dr. Ameena),370.0,Ariel Abapo Naciogoyo,2300013,8000.0,6109.090909,SPA and Co LLC
2300014,2300014,2,10018001,SVTA Radio Hand Pice 1,2,1680,360,3150.0,150.0,2023-5-29 22-31-7,,2300013 10018001,2023-03-16,22310093.0,Women's Medical Center (Dr. Ameena),370.0,Ariel Abapo Naciogoyo,2300013,3000.0,2290.909091,SPA and Co LLC
2300015,2300015,1,10006000,Caviation Laser,2,24500,6000,45150.0,2150.0,2023-5-29 22-31-23,,2300016 10006000,2023-02-15,22310269.0,Flora Beauty Spa,1098.0,Joyson Joseph Kalaparambath,2300016,43000.0,35000.0,Caviation Laser Co
2300016,2300016,1,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,700,7350.0,350.0,2023-5-29 22-31-35,,2300014 10004001,2023-02-14,22310131.0,Ali Bin Ali Medical,418.0,Lucero Jackson Riconose,2300014,7000.0,6045.454545,Skin for Life LLC
2300016,2300016,2,10004002,RF Fractional CO2 Laser - Accessories,4,1400,1600,4200.0,200.0,2023-5-29 22-31-35,,2300014 10004002,2023-02-14,22310131.0,Ali Bin Ali Medical,418.0,Lucero Jackson Riconose,2300014,4000.0,3454.545455,Skin for Life LLC
2300017,2300017,1,10011000,Hydra Fresh,1,74200,14200,63000.0,3000.0,2023-5-29 22-31-46,,2300018 10011000,2023-02-12,22310439.0,NAS Medical,370.0,Ariel Abapo Naciogoyo,2300018,60000.0,52040.81633,Hydra and Co LLC
2300017,2300017,2,10013000,Jumia,1,25200,5200,21000.0,1000.0,2023-5-29 22-31-46,,2300018 10013000,2023-02-12,22310439.0,NAS Medical,370.0,Ariel Abapo Naciogoyo,2300018,20000.0,17346.93878,Jumia and Co LLC
2300017,2300017,3,10016000,My Ultrasonic,2,9800,1600,18900.0,900.0,2023-5-29 22-31-46,,2300018 10016000,2023-02-12,22310439.0,NAS Medical,370.0,Ariel Abapo Naciogoyo,2300018,18000.0,15612.2449,Ultrasonic and Co LLC
2300018,2300018,1,10019000,VCA Laser,1,39200,3200,37800.0,1800.0,2023-5-29 22-31-59,,2300017 10019000,2023-02-20,22310207.0,Delta Pharmacy,981.0,Raj Kumar Giri,2300017,36000.0,29500.0,VCA and Co LLC
2300018,2300018,2,10019001,VCA Leaser Hand Piece,1,40000,4000,37800.0,1800.0,2023-5-29 22-31-59,,2300017 10019001,2023-02-20,22310207.0,Delta Pharmacy,981.0,Raj Kumar Giri,2300017,36000.0,29500.0,VCA and Co LLC
2300019,2300019,1,10003000,Portable Diode Laser Hair Removal Equipment,1,47180,6180,43050.0,2050.0,2023-5-29 22-33-50,,2300020 10003000,2023-02-25,22310055.0,Al Noor Pharmacy,366.0,Franco Viola Parota,2300020,41000.0,34557.14286,Adss Laser Co
2300019,2300019,2,10003001,Portable Diode Laser Hair Removal Equipment - Hand Piece,3,6300,3900,15750.0,750.0,2023-5-29 22-33-50,,2300020 10003001,2023-02-25,22310055.0,Al Noor Pharmacy,366.0,Franco Viola Parota,2300020,15000.0,12642.85714,Adss Laser Co
2300020,2300020,1,10012000,Hydra-new,1,16800,280,17346.0,826.0,2023-5-29 22-34-2,,2300019 10012000,2023-02-21,22310133.0,Al Samnan Clinic,366.0,Franco Viola Parota,2300019,16520.0,12866.04361,Hydra and Co LLC
2300020,2300020,2,10013000,Jumia,1,25200,3200,23100.0,1100.0,2023-5-29 22-34-2,,2300019 10013000,2023-02-21,22310133.0,Al Samnan Clinic,366.0,Franco Viola Parota,2300019,22000.0,17133.95639,Jumia and Co LLC
2300021,2300021,1,10018003,SVTA Radio Hand Pice 3,3,1960,880,5250.0,250.0,2023-5-29 22-34-15,,2300023 10018003,2023-03-16,22310093.0,Women's Medical Center (Dr. Ameena),370.0,Ariel Abapo Naciogoyo,2300023,5000.0,4166.666667,SPA and Co LLC
2300021,2300021,2,10018004,SVTA Radio Hand Pice 4,1,1820,220,1680.0,80.0,2023-5-29 22-34-15,,2300023 10018004,2023-03-16,22310093.0,Women's Medical Center (Dr. Ameena),370.0,Ariel Abapo Naciogoyo,2300023,1600.0,1333.333333,SPA and Co LLC
2300022,2300022,1,10018005,SVTA Radio Hand Pice 5,1,2240,240,2100.0,100.0,2023-5-29 22-36-3,,2300021 10018005,2023-02-12,22310210.0,Al Burg Clinic,994.0,Michael Cadiang Manza,2300021,2000.0,2000.0,SPA and Co LLC
2300022,2300022,2,10018006,SVTA Radio Hand Pice 6,2,2380,1760,3150.0,150.0,2023-5-29 22-36-3,,2300021 10018006,2023-02-12,22310210.0,Al Burg Clinic,994.0,Michael Cadiang Manza,2300021,3000.0,3000.0,SPA and Co LLC
2300023,2300023,1,10018000,SVTA Radio,2,25200,4400,48300.0,2300.0,2023-5-29 22-36-27,,2300022 10018000,2023-02-04,22310269.0,Flora Beauty Spa,366.0,Franco Viola Parota,2300022,46000.0,34684.26013,SPA and Co LLC
2300023,2300023,2,10019000,VCA Laser,1,39200,320,40824.0,1944.0,2023-5-29 22-36-27,,2300022 10019000,2023-02-04,22310269.0,Flora Beauty Spa,366.0,Franco Viola Parota,2300022,38880.0,29315.73987,VCA and Co LLC
2300024,2300024,1,10019000,VCA Laser,2,39200,9400,72450.0,3450.0,2023-5-29 22-36-40,,2300026 10019000,2023-03-05,22310200.0,German Clinic FZ LLC,894.0,Dev Kumar Rai,2300026,69000.0,57171.42857,VCA and Co LLC
2300024,2300024,2,10019001,VCA Leaser Hand Piece,1,40000,4000,37800.0,1800.0,2023-5-29 22-36-40,,2300026 10019001,2023-03-05,22310200.0,German Clinic FZ LLC,894.0,Dev Kumar Rai,2300026,36000.0,29828.57143,VCA and Co LLC
2300025,2300025,1,10001000,Microneedling RF,1,31465,2465,30450.0,1450.0,2023-5-29 22-36-52,,2300024 10001000,2023-02-16,22310182.0,Spaces Spa Center,709.0,Jinu Ambadan Jose,2300024,29000.0,23542.36111,Adss Laser Co
2300025,2300025,2,10001001,Microneedling RF - HandPiece,2,4725,2450,7350.0,350.0,2023-5-29 22-36-52,,2300024 10001001,2023-02-16,22310182.0,Spaces Spa Center,709.0,Jinu Ambadan Jose,2300024,7000.0,5682.638889,Adss Laser Co
2300026,2300026,1,10016000,My Ultrasonic,2,9800,2600,17850.0,850.0,2023-5-29 22-37-4,,2300025 10016000,2023-03-21,22310133.0,Al Samnan Clinic,598.0,Allen Madrid Gomez,2300025,17000.0,14000.0,Ultrasonic and Co LLC
2300027,2300027,1,10018001,SVTA Radio Hand Pice 1,2,1680,360,3150.0,150.0,2023-5-29 22-37-16,,2300028 10018001,2023-03-15,22310055.0,Al Noor Pharmacy,365.0,Allen Joseph Anora,2300028,3000.0,2437.5,SPA and Co LLC
2300027,2300027,2,10018002,SVTA Radio Hand Pice 2,1,2100,300,1890.0,90.0,2023-5-29 22-37-16,,2300028 10018002,2023-03-15,22310055.0,Al Noor Pharmacy,365.0,Allen Joseph Anora,2300028,1800.0,1462.5,SPA and Co LLC
2300028,2300028,1,10015000,Mickcara,1,43400,4400,40950.0,1950.0,2023-5-29 22-37-33,,2300030 10015000,2023-03-02,22310097.0,Sahar Pharmacy,415.0,Tampos Antonio Magalona,2300030,39000.0,31909.09091,Mickcara and Co LLC
2300028,2300028,2,10016000,My Ultrasonic,2,9800,3600,16800.0,800.0,2023-5-29 22-37-33,,2300030 10016000,2023-03-02,22310097.0,Sahar Pharmacy,415.0,Tampos Antonio Magalona,2300030,16000.0,13090.90909,Ultrasonic and Co LLC
2300029,2300029,1,10008001,DeodLeaser Hand Piece,2,2100,300,4095.0,195.0,2023-5-29 22-37-45,,2300031 10008001,2023-02-11,22310252.0,Faith Pharmacy,1008.0,Jalil Khadim Hussain,2300031,3900.0,3000.0,Deod and Co LLC
2300030,2300030,1,10004000,RF Fractional CO2 Laser,1,81900,3900,81900.0,3900.0,2023-5-29 22-37-56,,2300033 10004000,2023-03-01,22310207.0,Delta Pharmacy,981.0,Raj Kumar Giri,2300033,78000.0,58500.0,Skin for Life LLC
2300031,2300031,1,10009000,G5 Slimming,1,51800,3800,50400.0,2400.0,2023-5-29 22-38-7,,2300027 10009000,2023-02-03,22310280.0,Gulf Beauty Salon - Abu Dhabi,1138.0,Jessie Tolntion Matitu,2300027,48000.0,36705.88235,G5  and Co LLC
2300031,2300031,2,10009001,G5 Slimming Applicators,3,2800,1400,7350.0,350.0,2023-5-29 22-38-7,,2300027 10009001,2023-02-03,22310280.0,Gulf Beauty Salon - Abu Dhabi,1138.0,Jessie Tolntion Matitu,2300027,7000.0,5352.941176,G5  and Co LLC
2300031,2300031,3,10010000,Hiemt A,1,85400,4400,85050.0,4050.0,2023-5-29 22-38-7,,2300027 10010000,2023-02-03,22310280.0,Gulf Beauty Salon - Abu Dhabi,1138.0,Jessie Tolntion Matitu,2300027,81000.0,61941.17647,Hiemt and Co LLC
