id,siRef,sno,itmCod,desc,qty,price,disc,tot,vat,traDate,action,unique,siDat,cusCode,cusName,spCode,spCName,dlRef,wac
2300001,2300001,1,10001000,Microneedling RF,1,31465,2465,30450,1450,2023-5-29 22-27-46,,2300003 10001000,1/24/2023,22310093,Women's Medical Center (Dr. Ameena),370,Ariel Abapo Naciogoyo,2300003,22731.88925
2300001,2300001,2,10001001,Microneedling RF - HandPiece,1,4725,650,4278.75,203.75,2023-5-29 22-27-46,,2300003 10001001,1/24/2023,22310093,Women's Medical Center (Dr. Ameena),370,Ariel Abapo Naciogoyo,2300003,3460.82625
2300002,2300002,1,10004000,RF Fractional CO2 Laser,1,81900,2900,82950,3950,2023-5-29 22-28-1,,2300004 10004000,1/29/2023,22310055,Al Noor Pharmacy,366,Franco Viola Parota,2300004,59987.655
2300002,2300002,2,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,300,7770,370,2023-5-29 22-28-1,,2300004 10004001,1/29/2023,22310055,Al Noor Pharmacy,366,Franco Viola Parota,2300004,5601.365
2300003,2300003,1,10018001,SVTA Radio Hand Pice 1,2,1680,360,3150,150,2023-5-29 22-28-14,,2300001 10018001,2/1/2023,22310182,Spaces Spa Center,370,Ariel Abapo Naciogoyo,2300001,2494.632
2300003,2300003,2,10018002,SVTA Radio Hand Pice 2,1,2100,300,1890,90,2023-5-29 22-28-14,,2300001 10018002,2/1/2023,22310182,Spaces Spa Center,370,Ariel Abapo Naciogoyo,2300001,1517.145
2300004,2300004,1,10001000,Microneedling RF,1,31465,2465,30450,1450,2023-5-29 22-28-39,,2300002 10001000,1/19/2023,22310029,Al Jameya Pharmacy,365,Allen Joseph Anora,2300002,22731.88925
2300004,2300004,2,10001001,Microneedling RF - HandPiece,2,4725,1450,8400,400,2023-5-29 22-28-39,,2300002 10001001,1/19/2023,22310029,Al Jameya Pharmacy,365,Allen Joseph Anora,2300002,6921.6525
2300004,2300004,3,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,1700,6300,300,2023-5-29 22-28-39,,2300002 10004001,1/19/2023,22310029,Al Jameya Pharmacy,365,Allen Joseph Anora,2300002,5601.365
2300004,2300004,4,10004002,RF Fractional CO2 Laser - Accessories,2,1400,400,2520,120,2023-5-29 22-28-39,,2300002 10004002,1/19/2023,22310029,Al Jameya Pharmacy,365,Allen Joseph Anora,2300002,2078.86
