id,cusCode,cusName,opeBal,cloBal,cusActive,cusPhone,cusEmail,cusWeb,cusBillTo,cusShipTo,cusAcNum,cusCrLim,cusPytTerm,cusBank,cusLegName,cusTRN,cusTP,cusTOJ,cusCP,cusCPN,cusLogo,comment
22310029,22310029,Al Jameya Pharmacy,0,0,Yes,04-2633677,gnmest@emirates.net.ae,www.Al.com,Union Cooperative Society  Ghusais,Union Cooperative Society  Ghusais,2942518,50000,90,Qatar National Bank,Al LLC,1.02E+14,One Day Surgery,,Dr. Ahmed abdul Moez,,,
22310102,22310102,Health &amp; Aesthetic Medical Center,0,0,Yes,04-2633677,gnmest@emirates.net.ae,www.Al.com,Union Cooperative Society  Ghusais,Union Cooperative Society  Ghusais,2942518,50000,90,Qatar National Bank,Al LLC,1.02E+14,One Day Surgery,,Dr. Ahmed abdul Moez,,,
22310055,22310055,Al Noor Pharmacy,0,0,Yes,02-6732998,dr.kjaldoun@eedclinic.com,www.Al.com,Mina,Mina,5542518,51125,90,Australia & New Zealand Banking Group,Al LLC,1.02E+14,Pharmacy,,Babu (Accountant),,,
22310093,22310093,Women's Medical Center (Dr. Ameena),0,0,Yes,04-2666527,Aurira@draminaalamiri.com,www.Women's.com,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,9342518,52250,90,Bank of Shanghai,Women's LLC,1.02E+14,Derma/Dental/Skincare,,Shahzad Malik,,,
22310097,22310097,Sahar Pharmacy,0,0,Yes,06-5728987,,www.Sahar.com,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,9742518,53375,90,China Minsheng Banking Corp,Sahar LLC,1.02E+14,Derma,,Mamdouh Dawi,,,
22310102,22310102,Health & Aesthetic Medical Center,0,0,Yes,06-5569100,osman53@eim.ae / osman53@emir,www.Health.com,Buheira Corniche - Sharjah United Arab Emirates,Buheira Corniche - Sharjah United Arab Emirates,10242518,54500,0,Belfius,Health LLC,1.02E+14,Derma/Dental,,miss mary,,,
22310131,22310131,Ali Bin Ali Medical,0,0,No,9744867871,jillsd.med@alibinali.com,www.Ali.com,Doha Qatar,Doha Qatar,13142555,55625,30,Barclays PLC,Ali LLC,1.02E+14,,,Eng.Noor Boresly,(+965) 66655504,,
22310133,22310133,Al Samnan Clinic,0,0,Yes,050-3869368,drpanneer@yahoo.com,www.Al.com,Al Wasit Street Samnan Sharjah United Arab Emirates,Al Wasit Street Samnan Sharjah United Arab Emirates,13342518,56750,0,China Guangfa Bank (CGB),Al LLC,1.02E+14,Pharmacy,,Dr. Abdul Aziz,,,
22310182,22310182,Spaces Spa Center,0,0,Yes,04-5154644,maria.daya@cplng.com,www.Spaces.com,Oasis Center Dubai United Arab Emirates,Oasis Center Dubai United Arab Emirates,18242555,57875,90,Commonwealth Bank of Australia,Spaces LLC,1.02E+14,Derma,,Dr. Hans Fabian Blashke,,,
22310200,22310200,German Clinic FZ LLC,0,0,Yes,04-4298346,info@germanclinic-dubai.com,www.German.com,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,20042555,59000,90,Bank of Montreal,German LLC,1.02E+14,TBF,,Vipin Surendran,,,
22310207,22310207,Delta Pharmacy,0,0,Yes,06-5385770,,www.Delta.com,Sharjah United Arab Emirates,Sharjah United Arab Emirates,20742555,60125,90,Shinhan Financial Group,Delta LLC,1.02E+14,Derma,,Talal Al Ali,,,
