id,dlRef,dlDat,cusCode,cusName,dlTBD,dlTAD,dlTax,dlTAT,shipTo,dlComm,opnClo,spCName,spCode,soRef,soDat,traDate,action
2300000,2300000,,,,,,,,,,,,,,,,
2300001,2300001,1/30/2023,22310182.0,Spaces Spa Center,5460.0,4800.0,240.0,5040.0,Oasis Center Dubai United Arab Emirates,SVTA Radio Hand Pice 1 to Spaces Spa Center,Open,Ariel Abapo Naciogoyo,370.0,2300004.0,1/24/2023,2023-5-29 21-39-54, 
2300002,2300002,1/18/2023,22310029.0,Al Jameya Pharmacy,51415.0,45400.0,2270.0,47670.0,Union Cooperative Society  Ghusais,Microneedling RF and RF Fractional Laser to Al Jameya Pharmacy,Open,Allen Joseph Anora,365.0,2300006.0,1/14/2023,2023-5-29 21-40-11, 
2300003,2300003,1/23/2023,22310093.0,Women's Medical Center (Dr. Ameena),36190.0,33075.0,1654.0,34729.0,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,Microneedling RF and HandPiece to Women's Medical Center (Dr. Ameena),Open,Ariel Abapo Naciogoyo,370.0,2300011.0,1/17/2023,2023-5-29 21-40-26, 
2300004,2300004,1/28/2023,22310055.0,Al Noor Pharmacy,89600.0,86400.0,4320.0,90720.0,Mina,RF Fractional CO2 Laser and Handpiece to Al Noor Pharmacy,Open,Franco Viola Parota,366.0,2300009.0,1/16/2023,2023-5-29 21-40-46, 
2300005,2300005,2/16/2023,22310200.0,German Clinic FZ LLC,7700.0,5500.0,275.0,5775.0,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,SVTA Radio Hand Pice 3 & 4,Open,Dev Kumar Rai,894.0,2300010.0,2/7/2023,2023-5-29 21-41-3, 
2300006,2300006,1/22/2023,22310029.0,Al Jameya Pharmacy,57400.0,55645.0,2782.0,58427.0,Union Cooperative Society  Ghusais,Deod Leaserto Al Jameya Pharmacy,Open,Ariel Abapo Naciogoyo,370.0,2300007.0,1/16/2023,2023-5-29 21-43-44, 
2300007,2300007,2/27/2023,22310097.0,Sahar Pharmacy,31640.0,27910.0,1396.0,29306.0,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,SVTA Radio and Hand Pice 7 & 8 Sahar Pharmacy,Open,Allen Joseph Anora,365.0,2300003.0,2/4/2023,2023-5-29 21-44-5, 
2300008,2300008,2/11/2023,22310200.0,German Clinic FZ LLC,42700.0,38000.0,1900.0,39900.0,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,Crio Lipo and DeodLeaser Hand Piece to German Clinic FZ LLC,Open,Dev Kumar Rai,894.0,2300012.0,2/7/2023,2023-5-29 21-44-24, 
2300009,2300009,2/7/2023,22310131.0,Ali Bin Ali Medical,38500.0,33800.0,1690.0,35490.0,Doha Qatar,Crio Lipo & DeodLeaser Hand Piece to Ali Bin Ali Medical,Open,Sanjay Kumar Mandal,329.0,2300015.0,1/31/2023,2023-5-29 21-45-4, 
