id,soRef,sno,itmCod,desc,qty,price,disc,tot,traDate,action
2300001,2300001,1,10019000,VCA Laser,1,39200,7200,32000,2023-5-24 2-34-7, 
2300001,2300001,2,10019001,VCA Leaser Hand Piece,3,4000,4000,8000,2023-5-24 2-34-7, 
2300001,2300001,3,10015000,Mickcara,2,43400,16800,70000,2023-5-24 2-34-7, 
2300001,2300001,4,10016000,My Ultrasonic,5,9800,5000,44000,2023-5-24 2-34-7, 
2300001,2300001,5,10017000,SPA Slim,2,8400,4800,12000,2023-5-24 2-34-7, 
2300002,2300002,1,10019001,VCA Leaser Hand Piece,2,4000,2500,5500,2023-5-24 2-34-28, 
2300002,2300002,2,10018008,SVTA Radio Hand Pice 8,4,1400,1600,4000,2023-5-24 2-34-28, 
2300002,2300002,3,10018006,SVTA Radio Hand Pice 6,3,2380,2140,5000,2023-5-24 2-34-28, 
2300002,2300002,4,10018004,SVTA Radio Hand Pice 4,2,1820,1640,2000,2023-5-24 2-34-28, 
2300002,2300002,5,10018001,SVTA Radio Hand Pice 1,5,1680,2400,6000,2023-5-24 2-34-28, 
2300003,2300003,1,10001000,Microneedling RF,1,31465,6465,25000,2023-5-24 2-34-43, 
2300003,2300003,2,10001001,Microneedling RF - HandPiece,3,4725,5175,9000,2023-5-24 2-34-43, 
2300003,2300003,3,10002000,Diode Laser Hair Removal Device,1,51380,7380,44000,2023-5-24 2-34-43, 
2300003,2300003,4,10003000,Portable Diode Laser Hair Removal Equipment,1,47180,9180,38000,2023-5-24 2-34-43, 
2300003,2300003,5,10004000,RF Fractional CO2 Laser,1,81900,6900,75000,2023-5-24 2-34-43, 
2300003,2300003,6,10004001,RF Fractional CO2 Laser - Handpiece,2,7700,4400,11000,2023-5-24 2-34-43, 
2300003,2300003,7,10005000,Bruun Mci,1,86800,17800,69000,2023-5-24 2-34-43, 
2300003,2300003,8,10006000,Caviation Laser,1,24500,6500,18000,2023-5-24 2-34-43, 
2300003,2300003,9,10007000,Crio Lipo,1,36400,8400,28000,2023-5-24 2-34-43, 
2300004,2300004,1,10019001,VCA Leaser Hand Piece,2,4000,2500,5500,2023-5-24 2-34-55, 
2300004,2300004,2,10018008,SVTA Radio Hand Pice 8,4,1400,1600,4000,2023-5-24 2-34-55, 
2300004,2300004,3,10018006,SVTA Radio Hand Pice 6,3,2380,2140,5000,2023-5-24 2-34-55, 
2300004,2300004,4,10018004,SVTA Radio Hand Pice 4,2,1820,1640,2000,2023-5-24 2-34-55, 
2300004,2300004,5,10018001,SVTA Radio Hand Pice 1,5,1680,2400,6000,2023-5-24 2-34-55, 
2300005,2300005,1,10001000,Microneedling RF,1,31465,8930,22535,2023-5-24 2-35-33, 
2300005,2300005,2,10001001,Microneedling RF - HandPiece,2,4725,5625,3825,2023-5-24 2-35-33, 
2300005,2300005,3,10002000,Diode Laser Hair Removal Device,1,51380,7380,44000,2023-5-24 2-35-33, 
2300005,2300005,4,10003000,Portable Diode Laser Hair Removal Equipment,1,47180,14360,32820,2023-5-24 2-35-33, 
2300005,2300005,5,10003001,Portable Diode Laser Hair Removal Equipment - Hand Piece,2,6300,8100,4500,2023-5-24 2-35-33, 
2300005,2300005,6,10004000,RF Fractional CO2 Laser,1,81900,7900,74000,2023-5-24 2-35-33, 
2300005,2300005,7,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,5800,1900,2023-5-24 2-35-33, 
2300005,2300005,8,10004002,RF Fractional CO2 Laser - Accessories,3,1400,2000,2200,2023-5-24 2-35-33, 
2300006,2300006,1,10007000,Crio Lipo,1,36400,7400,29000,2023-5-24 2-36-45, 
2300006,2300006,2,10008001,DeodLeaser Hand Piece,4,2100,2400,6000,2023-5-24 2-36-45, 
2300006,2300006,3,10008000,DeodLeaser,2,15400,4800,26000,2023-5-24 2-36-45, 
2300007,2300007,1,10001000,Microneedling RF,2,31465,12930,50000,2023-5-24 2-37-36, 
2300007,2300007,2,10001001,Microneedling RF - HandPiece,8,4725,5800,32000,2023-5-24 2-37-36, 
2300007,2300007,3,10002000,Diode Laser Hair Removal Device,1,51380,3380,48000,2023-5-24 2-37-36, 
2300007,2300007,4,10006000,Caviation Laser,3,24500,8500,65000,2023-5-24 2-37-36, 
2300007,2300007,5,10007000,Crio Lipo,2,36400,7800,65000,2023-5-24 2-37-36, 
2300008,2300008,1,10001000,Microneedling RF,2,31465,12930,50000,2023-5-24 2-37-50, 
2300008,2300008,2,10001001,Microneedling RF - HandPiece,8,4725,5800,32000,2023-5-24 2-37-50, 
