id,soRef,soDat,cusCode,cusName,soTBD,soTAD,soTax,soTAT,shipTo,soComm,opnClo,spCName,spCode,qotRef,qotDat,traDate,action
2300000,2300000,,,,,,,,,,,,,,,,
2300001,2300001,1/21/2023,22310133.0,Al Samnan Clinic,18200.0,15560.0,778.0,16338.0,Al Wasit Street Samnan Sharjah United Arab Emirates,Deod Leaser and G5 Slimming Applicators to Al Samnan Clinic,Open,Allen Madrid Gomez,598.0,2300012.0,1/9/2023,2023-5-28 15-11-39, 
2300002,2300002,1/23/2023,22310097.0,Sahar Pharmacy,10500.0,9980.0,499.0,10479.0,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,RF Fractional CO2 Laser Handpiece and Accessories to Sahar Pharmacy,Open,Tampos Antonio Magalona,415.0,2300002.0,1/11/2023,2023-5-28 15-11-47, 
2300003,2300003,2/4/2023,22310097.0,Sahar Pharmacy,31640.0,27910.0,1396.0,29306.0,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,SVTA Radio and Hand Pice 7 & 8 Sahar Pharmacy,Open,Allen Joseph Anora,365.0,2300007.0,1/23/2023,2023-5-28 15-11-54, 
2300004,2300004,1/24/2023,22310182.0,Spaces Spa Center,5460.0,4800.0,240.0,5040.0,Oasis Center Dubai United Arab Emirates,SVTA Radio Hand Pice 1 to Spaces Spa Center,Open,Ariel Abapo Naciogoyo,370.0,2300015.0,1/12/2023,2023-5-28 15-12-2, 
2300005,2300005,3/11/2023,22310093.0,Women's Medical Center (Dr. Ameena),11760.0,11000.0,550.0,11550.0,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,SPA Slim & SVTA Radio Hand Pice 1 to Women's Medical Center (Dr. Ameena),Open,Ariel Abapo Naciogoyo,370.0,2300029.0,2/27/2023,2023-5-28 15-12-10, 
2300006,2300006,2023-01-14,22310029.0,Al Jameya Pharmacy,51415.0,45400.0,2270.0,47670.0,Union Cooperative Society  Ghusais,Microneedling RF and RF Fractional Laser to Al Jameya Pharmacy,Open,Allen Joseph Anora,365.0,2300001.0,2023-01-02,2023-6-7 1-52-9, 
2300007,2300007,1/16/2023,22310029.0,Al Jameya Pharmacy,57400.0,55645.0,2782.0,58427.0,Union Cooperative Society  Ghusais,Deod Leaserto Al Jameya Pharmacy,Open,Ariel Abapo Naciogoyo,370.0,2300004.0,1/4/2023,2023-5-28 15-12-24, 
2300008,2300008,2/10/2023,22310131.0,Ali Bin Ali Medical,13300.0,11000.0,550.0,11550.0,Doha Qatar,RF Fractional CO2 Laser - Handpiece to Ali Bin Ali Medical,Open,Lucero Jackson Riconose,418.0,2300009.0,1/29/2023,2023-5-28 15-12-31, 
2300009,2300009,1/16/2023,22310055.0,Al Noor Pharmacy,89600.0,86400.0,4320.0,90720.0,Mina,RF Fractional CO2 Laser and Handpiece to Al Noor Pharmacy,Open,Franco Viola Parota,366.0,2300003.0,1/4/2023,2023-5-28 15-12-37, 
2300010,2300010,2/7/2023,22310200.0,German Clinic FZ LLC,7700.0,5500.0,275.0,5775.0,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,SVTA Radio Hand Pice 3 & 4,Open,Dev Kumar Rai,894.0,2300017.0,1/26/2023,2023-5-28 15-12-42, 
2300011,2300011,1/17/2023,22310093.0,Women's Medical Center (Dr. Ameena),36190.0,33075.0,1654.0,34729.0,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,Microneedling RF and HandPiece to Women's Medical Center (Dr. Ameena),Open,Ariel Abapo Naciogoyo,370.0,2300005.0,1/5/2023,2023-5-28 15-12-48, 
