id,qotRef,sno,itmCod,desc,qty,price,disc,tot,traDate,action
2300002,2300002,1,10001000,Microneedling RF,2,31465,12930,50000,2023-5-22 23-17-59,
2300002,2300002,2,10001001,Microneedling RF - HandPiece,8,4725,5800,32000,2023-5-22 23-17-59,
2300002,2300002,3,10002000,Diode Laser Hair Removal Device,1,51380,3380,48000,2023-5-22 23-17-59,
2300002,2300002,4,10006000,Caviation Laser,3,24500,8500,65000,2023-5-22 23-17-59,
2300002,2300002,5,10007000,Crio Lipo,2,36400,7800,65000,2023-5-22 23-17-59,
2300003,2300003,1,10018001,SVTA Radio Hand Pice 1,3,1680,1040,4000,2023-5-22 23-20-26,
2300003,2300003,2,10018002,SVTA Radio Hand Pice 2,5,2100,1500,9000,2023-5-22 23-20-26,
2300003,2300003,3,10018003,SVTA Radio Hand Pice 3,4,1960,840,7000,2023-5-22 23-20-26,
2300003,2300003,4,10018004,SVTA Radio Hand Pice 4,2,1820,640,3000,2023-5-22 23-20-26,
2300003,2300003,5,10018005,SVTA Radio Hand Pice 5,1,2240,240,2000,2023-5-22 23-20-26,
2300003,2300003,6,10018006,SVTA Radio Hand Pice 6,2,2380,1760,3000,2023-5-22 23-20-26,
2300003,2300003,7,10018007,SVTA Radio Hand Pice 7,4,2520,2080,8000,2023-5-22 23-20-26,
2300003,2300003,8,10018008,SVTA Radio Hand Pice 8,7,1400,1800,8000,2023-5-22 23-20-26,
2300003,2300003,9,10018000,SVTA Radio,1,25200,1200,24000,2023-5-22 23-20-26,
2300005,2300005,1,10005000,Bruun Mci,1,86800,19800,67000,2023-5-22 23-26-39,
2300005,2300005,2,10006000,Caviation Laser,1,24500,5500,19000,2023-5-22 23-26-39,
2300005,2300005,3,10007000,Crio Lipo,1,36400,7400,29000,2023-5-22 23-26-39,
2300005,2300005,4,10008001,DeodLeaser Hand Piece,5,2100,2500,8000,2023-5-22 23-26-39,
2300005,2300005,5,10008000,DeodLeaser,1,15400,3400,12000,2023-5-22 23-26-39,
2300005,2300005,6,10009001,G5 Slimming Applicators,4,2800,3200,8000,2023-5-22 23-26-39,
2300006,2300006,1,10004000,RF Fractional CO2 Laser,1,81900,11900,70000,2023-5-22 23-29-22,
2300006,2300006,2,10004001,RF Fractional CO2 Laser - Handpiece,3,7700,3100,20000,2023-5-22 23-29-22,
2300006,2300006,3,10004002,RF Fractional CO2 Laser - Accessories,4,1400,600,5000,2023-5-22 23-29-22,
2300006,2300006,4,10005000,Bruun Mci,1,86800,4800,82000,2023-5-22 23-29-22,
2300006,2300006,5,10006000,Caviation Laser,1,24500,5500,19000,2023-5-22 23-29-22,
2300006,2300006,6,10007000,Crio Lipo,1,36400,7400,29000,2023-5-22 23-29-22,
2300007,2300007,1,10001000,Microneedling RF,1,31465,6465,25000,2023-5-22 23-33-18,
2300007,2300007,2,10001001,Microneedling RF - HandPiece,3,4725,3175,11000,2023-5-22 23-33-18,
