id,itmCode,itmName,uPrice,selPrice,brand,supplier,comment
10001000,10001000,Microneedling RF,22475,31465,ADSS,Adss Laser Co,
10001001,10001001,Microneedling RF - HandPiece,3375,4725,ADSS,Adss Laser Co,
10002000,10002000,Diode Laser Hair Removal Device,36700,51380,ADSS,Adss Laser Co,
10003000,10003000,Portable Diode Laser Hair Removal Equipment,33700,47180,ADSS,Adss Laser Co,
10003001,10003001,Portable Diode Laser Hair Removal Equipment - Hand Piece,4500,6300,ADSS,Adss Laser Co,
10004000,10004000,RF Fractional CO2 Laser,58500,81900,Risen,Skin for Life LLC,
10004001,10004001,RF Fractional CO2 Laser - Handpiece,5500,7700,Risen,Skin for Life LLC,
10004002,10004002,RF Fractional CO2 Laser - Accessories,1000,1400,Risen,Skin for Life LLC,
10005000,10005000,Bruun Mci,62000,86800,Bruun MCI,Bruun plc,
10006000,10006000,Caviation Laser,17500,24500,Caviation,Caviation Laser Co,
10007000,10007000,Crio Lipo,26000,36400,Crio,Crio and Co LLC,
10008001,10008001,DeodLeaser Hand Piece,1500,2100,Deod,Deod and Co LLC,
10008000,10008000,DeodLeaser,11000,15400,Deod,Deod and Co LLC,
10009001,10009001,G5 Slimming Applicators,2000,2800,G5 ,G5  and Co LLC,
10009000,10009000,G5 Slimming,37000,51800,G5 ,G5  and Co LLC,
10010000,10010000,Hiemt A,61000,85400,Hiemt,Hiemt and Co LLC,
10011000,10011000,Hydra Fresh,53000,74200,Hydra,Hydra and Co LLC,
10012000,10012000,Hydra-new,12000,16800,Hydra,Hydra and Co LLC,
10013000,10013000,Jumia,18000,25200,Jumia,Jumia and Co LLC,
10014000,10014000,Konmision,28000,39200,Konmision,Konmision and Co LLC,
10015000,10015000,Mickcara,31000,43400,Mickcara,Mickcara and Co LLC,
10016000,10016000,My Ultrasonic,7000,9800,Ultrasonic,Ultrasonic and Co LLC,
10017000,10017000,SPA Slim,6000,8400,SPA,SPA and Co LLC,
10018001,10018001,SVTA Radio Hand Pice 1,1200,1680,SPA,SPA and Co LLC,
10018002,10018002,SVTA Radio Hand Pice 2,1500,2100,SPA,SPA and Co LLC,
10018003,10018003,SVTA Radio Hand Pice 3,1400,1960,SPA,SPA and Co LLC,
10018004,10018004,SVTA Radio Hand Pice 4,1300,1820,SPA,SPA and Co LLC,
10018005,10018005,SVTA Radio Hand Pice 5,1600,2240,SPA,SPA and Co LLC,
10018006,10018006,SVTA Radio Hand Pice 6,1700,2380,SPA,SPA and Co LLC,
10018007,10018007,SVTA Radio Hand Pice 7,1800,2520,SPA,SPA and Co LLC,
10018008,10018008,SVTA Radio Hand Pice 8,1000,1400,SPA,SPA and Co LLC,
10018000,10018000,SVTA Radio,18000,25200,SPA,SPA and Co LLC,
10019000,10019000,VCA Laser,28000,39200,VCA,VCA and Co LLC,
10019001,10019001,VCA Leaser Hand Piece,31000,43400,VCA,VCA and Co LLC,
10019001,10019001,VCA Leaser Hand Piece,31000,4000,VCA,VCA and Co LLC,
