code,head,level1,level2,level3,level4
22420001,Equipments (Demo),1. Assets,1. Non Current Assets,1. Property and Equipment,Equipments (Demo)
22620003,Depr. Equipments (Demo),1. Assets,1. Non Current Assets,1. Property and Equipment,Equipments (Demo)
22620001,Office Equipments,1. Assets,1. Non Current Assets,1. Property and Equipment,Computer hardware
28240001,Depr. office Equipments,1. Assets,1. Non Current Assets,1. Property and Equipment,Computer hardware
22620002,Computer hardware,1. Assets,1. Non Current Assets,1. Property and Equipment,Computer hardware
28240002,Depr. Computers Hardware,1. Assets,1. Non Current Assets,1. Property and Equipment,Computer hardware
22500001,Moter Vehicle,1. Assets,1. Non Current Assets,1. Property and Equipment,Motor Vehicles
28250001,Depr. Motor Vehicles,1. Assets,1. Non Current Assets,1. Property and Equipment,Motor Vehicles
22620004,Computer Software,1. Assets,1. Non Current Assets,2. Intangible Assets,Computer Software
22620005,Dep Computer Software,1. Assets,1. Non Current Assets,2. Intangible Assets,Computer Software
37000001,Inventory at Cost,1. Assets,2. Current Assets,1. Inventories,Goods in Warehouse
37000002,Goods Shipped But Not Billed,1. Assets,2. Current Assets,1. Inventories,Goods in Warehouse
39700001,Provision for Obsolete / Slow Moving Items,1. Assets,2. Current Assets,1. Inventories,Goods in Warehouse
41000003,Goods In Transit,1. Assets,2. Current Assets,1. Inventories,Goods in Transit
41119999,Debtors having Credit Balance,1. Assets,2. Current Assets,3. Trade Receivables,Trade Receivables
41150001,Doubtful Debits Allowance,1. Assets,2. Current Assets,3. Trade Receivables,Trade Receivables
51120001,Cheque Received Not Deposit,1. Assets,2. Current Assets,3. Trade Receivables,Post Dated Cheque Receivable
41300001,PDC Receivable in Bank Custody,1. Assets,2. Current Assets,3. Trade Receivables,Post Dated Cheque Receivable
41200001,Prepaid Expenses,1. Assets,2. Current Assets,4. Other Receivables,Prepaid Expenses
41200104,Refundable Deposit Facility BOS,1. Assets,2. Current Assets,4. Other Receivables,Refundable Deposits
41600134,Hafiz Umer KSA,1. Assets,2. Current Assets,4. Other Receivables,Refundable Deposits
41600136,Nidaa Mresh,1. Assets,2. Current Assets,4. Other Receivables,Refundable Deposits
41600038,Joseph Zgheib,1. Assets,2. Current Assets,4. Other Receivables,Staff Advance
44980002,Accrued Income,1. Assets,2. Current Assets,4. Other Receivables,Advances To Suppliers
41700111,Advance For SAP Software,1. Assets,2. Current Assets,4. Other Receivables,Advances To Suppliers
41709999,Transfer - Creditors having Debit Balance,1. Assets,2. Current Assets,4. Other Receivables,Advances To Suppliers
41700118,Advances to Tania Nassar,1. Assets,2. Current Assets,4. Other Receivables,Other Receivables
