id,supCode,supName,opeBal,cloBal,supActive,supLogo,supPhone,supEmail,supWeb,supBillFrom,supShipFrom,supAcNum,supCrLim,supPytTerm,supBank,supLegName,supTRN,supTP,supTOJ,supCP,supCPN,comment
32110000,32110000,Adss Laser Co,228900,0,Yes,,25560123,,www.Adss.com,"PO Box: 108879, Khalifa City A, Abu Dhabi","PO Box: 108879, Khalifa City A, Abu Dhabi",247243850,20000,90,Caixa Economica Federal,Al LLC,1.00E+14,Skincare,,yuliya al tenaiji,,
32110001,32110001,Bruun plc,0,0,Yes,,06-5309963,saghir@emirates.net.ae,www.Bruun.com,Near Al Nahda Park Sharjah United Arab Emirates,Near Al Nahda Park Sharjah United Arab Emirates,21842555,5000,90,PNC Financial Services Group,Al LLC,,Dental,,Al Borj Medical Center,,
32110002,32110002,Caviation Laser Co,2310,0,Yes,,507418741,,www.Caviation.com,FujirahkhorfkanCornish area,FujirahkhorfkanCornish area,113442555,10000,90,Capital One Financial Corporation,Al LLC,,Clinic,,Al Burg Clinic,,
32110003,32110003,Crio and Co LLC,21254,0,Yes,,04 4529998,info@aldasclinic.com,www.Crio.com,"PO Box 117452, Shoreline no. 10, Palm Jumerirah, Dubai","PO Box 117452, Shoreline no. 10, Palm Jumerirah, Dubai",223443828,80000,60,KBC Group NV,Al LLC,1.00E+14,Dental/PS/Skincare,,Al Bustan Medical Center,,
32110004,32110004,Deod and Co LLC,0,0,Yes,,03-7556112,muwaijidewan2007@yahoo.com,www.Deod.com,The Palm Near Jimmy Hospital Al Ain United Arab Emirates,The Palm Near Jimmy Hospital Al Ain United Arab Emirates,10842518,0,0,Bank of Beijing,Al LLC,,Pharmacy,,Mohamed Al Saghir,050-6280760,
32110005,32110005,G5  and Co LLC,0,0,Yes,,07-2337695,,www.G5.com,Ras Al Khaimah,Ras Al Khaimah,77042555,0,30,Oversea-Chinese Banking Corp (OCBC),Al LLC,1.00E+14,Clinic,,Dr. Badriya Ahmad,,
32110006,32110006,Hiemt and Co LLC,2300,0,Yes,,06 562 9727,adms3182@eim.ae,www.Hiemt.com,"PO Box: 20727, Shop No. 3, Al Majarah Residence Bldg., Corniche St., Sharjah","PO Box: 20727, Shop No. 3, Al Majarah Residence Bldg., Corniche St., Sharjah",239644369,10000,45,Svenska Handelsbanken,Al LLC,1.00E+14,Derma/Dental,,Jelena Jakovljevic,,
32110007,32110007,Hydra and Co LLC,0,0,No,,07-2441433,,www.Hydra.com,Al Kharran Ras Al Khaimah United Arab Emirates,Al Kharran Ras Al Khaimah United Arab Emirates,11542518,0,0,China Guangfa Bank (CGB),Al LLC,,Pharmacy,,Yoosuf Ali Parambath,,
32110008,32110008,Jumia and Co LLC,0,0,Yes,,04-3485102,,www.Jumia.com,Al Wasl Road Umm suqeium Next to Chothram Supermarket Dubai Unite,Al Wasl Road Umm suqeium Next to Chothram Supermarket Dubai Unite,11942518,0,0,Nationwide Building Society,Al LLC,,Pharmacy,,Mr. Azgar,,
32110009,32110009,Konmision and Co LLC,64899,0,Yes,,97147064000,,www.Konmision.com,"Al Rebat Street,Shop No. FH001","Al Rebat Street,Shop No. FH001",192143172,60000,90,Swedbank,Al LLC,1.00E+14,Dental,,Nasreen Naveed,,
