id,qotRef,sno,itmCod,desc,qty,price,disc,tot,traDate,action,combined
2300001,2300001,1,10001000,Microneedling RF,1,31465,1465,30000,2023-5-20 20-20-30,,2300001 2023-5-20 20-20-30
2300001,2300001,2,10001001,Microneedling RF - HandPiece,3,4725,2175,12000,2023-5-20 20-20-30,,2300001 2023-5-20 20-20-30
2300001,2300001,3,10002000,Diode Laser Hair Removal Device,1,51380,1380,50000,2023-5-20 20-20-30,,2300001 2023-5-20 20-20-30
2300001,2300001,4,10003000,Portable Diode Laser Hair Removal Equipment,1,47180,2180,45000,2023-5-20 20-20-30,,2300001 2023-5-20 20-20-30
2300002,2300002,1,10004000,RF Fractional CO2 Laser,1,81900,11900,70000,2023-5-20 20-21-46,,2300002 2023-5-20 20-21-46
2300002,2300002,2,10004001,RF Fractional CO2 Laser - Handpiece,4,7700,2800,28000,2023-5-20 20-21-46,,2300002 2023-5-20 20-21-46
2300002,2300002,3,10004002,RF Fractional CO2 Laser - Accessories,6,1400,1400,7000,2023-5-20 20-21-46,,2300002 2023-5-20 20-21-46
2300003,2300003,1,10001000,Microneedling RF,2,31465,15100,47830,2023-5-20 20-22-29,,2300003 2023-5-20 20-22-29
2300004,2300004,1,10005000,Bruun Mci,1,86800,16800,70000,2023-5-20 20-24-4,,2300004 2023-5-20 20-24-4
2300004,2300004,2,10006000,Caviation Laser,2,24500,9000,40000,2023-5-20 20-24-4,,2300004 2023-5-20 20-24-4
2300004,2300004,3,10007000,Crio Lipo,1,36400,4400,32000,2023-5-20 20-24-4,,2300004 2023-5-20 20-24-4
2300004,2300004,4,10008001,DeodLeaser Hand Piece,10,2100,3000,18000,2023-5-20 20-24-4,,2300004 2023-5-20 20-24-4
2300005,2300005,1,10001000,Microneedling RF,3,31465,4395,90000,2023-5-20 20-25-44,,2300005 2023-5-20 20-25-44
2300005,2300005,2,10001001,Microneedling RF - HandPiece,3,4725,2175,12000,2023-5-20 20-25-44,,2300005 2023-5-20 20-25-44
2300005,2300005,3,10002000,Diode Laser Hair Removal Device,1,51380,5380,46000,2023-5-20 20-25-44,,2300005 2023-5-20 20-25-44
2300006,2300006,1,10001000,Microneedling RF,2,31465,12930,50000,2023-5-20 23-7-47,,2300006 2023-5-20 23-7-47
2300006,2300006,2,10001001,Microneedling RF - HandPiece,4,4725,3900,15000,2023-5-20 23-7-47,,2300006 2023-5-20 23-7-47
2300006,2300006,3,10002000,Diode Laser Hair Removal Device,1,51380,6380,45000,2023-5-20 23-7-47,,2300006 2023-5-20 23-7-47
2300009,2300009,1,10001000,Microneedling RF,2,31465,465,62465,2023-5-21 1-42-58,,2300009 2023-5-21 1-42-58
2300009,2300009,2,10001001,Microneedling RF - HandPiece,10,4725,725,46525,2023-5-21 1-42-58,,2300009 2023-5-21 1-42-58
2300011,2300011,1,10001000,Microneedling RF,3,31465,4395,90000,2023-5-21 1-45-22,,2300011 2023-5-21 1-45-22
2300011,2300011,2,10002000,Diode Laser Hair Removal Device,1,51380,1380,50000,2023-5-21 1-45-22,,2300011 2023-5-21 1-45-22
2300012,2300012,1,10001000,Microneedling RF,3,31465,4395,90000,2023-5-21 3-45-48,,2300012 2023-5-21 3-45-48
2300012,2300012,2,10001001,Microneedling RF - HandPiece,10,4725,7250,40000,2023-5-21 3-45-48,,2300012 2023-5-21 3-45-48
