id,cusCode,cusName,opeBal,cloBal,cusActive,cusPhone,cusEmail,cusWeb,cusBillTo,cusShipTo,cusAcNum,cusCrLim,cusPytTerm,cusBank,cusLegName,cusTRN,cusTP,cusTOJ,cusCP,cusCPN,cusLogo,comment
22310029,22310029,Al Jameya Pharmacy,0,0,Yes,04-2633677,gnmest@emirates.net.ae,www.Al.com,Union Cooperative Society  Ghusais,Union Cooperative Society  Ghusais,2942518,0,90,Qatar National Bank,Al LLC,,One Day Surgery,,Dr. Ahmed abdul Moez,,,
22310055,22310055,Al Noor Pharmacy,0,0,Yes,02-6732998,dr.kjaldoun@eedclinic.com,www.Al.com,Mina,Mina,5542518,0,90,Australia & New Zealand Banking Group,Al LLC,,Pharmacy,,Babu (Accountant),,,
22310093,22310093,Women's Medical Center (Dr. Ameena),0,0,Yes,04-2666527,Aurira@draminaalamiri.com,www.Women's.com,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,9342518,50000,90,Bank of Shanghai,Women's LLC,100233106200003,Derma/Dental/Skincare,,Shahzad Malik,,,
22310097,22310097,Sahar Pharmacy,0,0,Yes,06-5728987,,www.Sahar.com,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,9742518,0,90,China Minsheng Banking Corp,Sahar LLC,,Derma,,Mamdouh Dawi,,,
22310102,22310102,Health & Aesthetic Medical Center,0,0,Yes,06-5569100,osman53@eim.ae / osman53@emir,www.Health.com,Buheira Corniche - Sharjah United Arab Emirates,Buheira Corniche - Sharjah United Arab Emirates,10242518,0,0,Belfius,Health LLC,100021386600003,Derma/Dental,,miss mary,,,
22310131,22310131,Ali Bin Ali Medical,0,0,No,9744867871,jillsd.med@alibinali.com,www.Ali.com,Doha Qatar,Doha Qatar,13142555,1,30,Barclays PLC,Ali LLC,,,,Eng.Noor Boresly,(+965) 66655504,,
22310133,22310133,Al Samnan Clinic,0,0,Yes,050-3869368,drpanneer@yahoo.com,www.Al.com,Al Wasit Street Samnan Sharjah United Arab Emirates,Al Wasit Street Samnan Sharjah United Arab Emirates,13342518,0,0,China Guangfa Bank (CGB),Al LLC,,Pharmacy,,Dr. Abdul Aziz,,,
22310182,22310182,Spaces Spa Center,0,0,Yes,04-5154644,maria.daya@cplng.com,www.Spaces.com,Oasis Center Dubai United Arab Emirates,Oasis Center Dubai United Arab Emirates,18242555,10000,90,Commonwealth Bank of Australia,Spaces LLC,100588884500003,Derma,,Dr. Hans Fabian Blashke,,,
22310200,22310200,German Clinic FZ LLC,0,0,Yes,04-4298346,info@germanclinic-dubai.com,www.German.com,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,20042555,5000,90,Bank of Montreal,German LLC,100001958600003,TBF,,Vipin Surendran,,,
22310207,22310207,Delta Pharmacy,0,0,Yes,06-5385770,,www.Delta.com,Sharjah United Arab Emirates,Sharjah United Arab Emirates,20742555,10,90,Shinhan Financial Group,Delta LLC,,Derma,,Talal Al Ali,,,
22310210,22310210,Al Burg Clinic,0,0,Yes,04-3212220,drqassimahli@gmail.com,www.Al.com,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,21042555,0,30,DBS Group Holdings,Al LLC,,TBF,,Murad Ramadan,,,
22310252,22310252,Faith Pharmacy,0,3675,Yes,04- 2724279,Faithpharmacy@yahoo.com,www.Faith.com,Naif Road Near Al Futtaim Mosque Deira Dubai United Arab Emirates,Naif Road Near Al Futtaim Mosque Deira Dubai United Arab Emirates,25242555,0,90,Bank of America,Faith LLC,100305807800003,Derma/Dental/Skincare,,Dr Amira Elkholy,,,
22310269,22310269,Flora Beauty Spa,0,16763,Yes,04-2850555,grandfloraspa@yahoo.com,www.Flora.com,Umm Ramool Rashidiya Dubai United Arab Emirates,Umm Ramool Rashidiya Dubai United Arab Emirates,26942555,10,30,Royal Bank of Scotland Group,Flora LLC,100045258900003,Derma/Dental,,Dr. Huda Ayad,5634133007,,
22310280,22310280,Gulf Beauty Salon - Abu Dhabi,0,17988,Yes,02-4433202,vahidmike@yahoo.com,www.Gulf.com,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,28042555,10000,30,Skandinaviska Enskilda Banken,Gulf LLC,100480893500003,Skincare,,Anwar Basha,,,
22310286,22310286,Hamad Pharmacy,0,0,Yes,06-5582800,care@drsunnymc.com,www.Hamad.com,Al Wasit Street Al Shaba Sharjah United Arab Emirates,Al Wasit Street Al Shaba Sharjah United Arab Emirates,28642555,15000,120,State Street Corp,Hamad LLC,,Clinic,,Dr. Reem Abdul Hadi,,,
22310298,22310298,HANI Pharmacy Abu Dhabi,0,0,Yes,02-6778501,,www.HANI.com,Hamdah Street Near Standard Chartered Bank Abu Dhabi,Hamdah Street Near Standard Chartered Bank Abu Dhabi,29842555,10,90,Nykredit Group,HANI LLC,100277524300003,Dental,,Khalid Elsid,,,
22310341,22310341,Kaya Trading,22721,0,Yes,04-3576620,kayasbc@kayame.net,www.Kaya.com,"LEASED OFFICE BLDG 13 OFFICE, HAMRIYAH FREE ZONE-SHARJAH, UNITED ARAB EMIRATES.","LEASED OFFICE BLDG 13 OFFICE, HAMRIYAH FREE ZONE-SHARJAH, UNITED ARAB EMIRATES.",34142555,0,0,Norinchukin Bank,Kaya LLC,,Pharmacy,,Ataya Hussain,,,
22310359,22310359,Life Pharmacy LLC,3951,0,Yes,04-3410008,jose@life-me.com,www.Life.com,Mall of Emirates bridge turn left towards Lulu Hypermarket  left side,Mall of Emirates bridge turn left towards Lulu Hypermarket  left side,35942555,20000,120,Bank of Shanghai,Life LLC,100344133200003,Derma,,Dr. Silvian Santicu,,,
22310436,22310436,NADA Pharmacy,0,0,Yes,06-5725559,,www.NADA.com,Sharjah United Arab Emirates,Sharjah United Arab Emirates,43642555,1,90,United Overseas Bank (UOB),NADA LLC,,SPA,,Antoine Dabboul,00968 95757279,,
22310439,22310439,NAS Medical,0,0,Yes,04-3938935,nasmed@emirates.net.ae,www.NAS.com,Dubai United Arab Emirates,Dubai United Arab Emirates,43942555,1,30,Nykredit Group,NAS LLC,100617807100003,Skincare,,Nails Time Spa Saloon,,,
22310580,22310580,Al Qaser Medical Center,850,91909,Yes,06-5549533 -,alqasrmedical@yahoo.com,www.Al.com,Next to Millenium Hotel Al Buhairah Sharjah United Arab Emirates,Next to Millenium Hotel Al Buhairah Sharjah United Arab Emirates,58042555,8000,90,Sumitomo Mitsui Trust Holdings,Al LLC,,Pharmacy,,Dr. Mohsen,,,
22310646,22310646,American Hospital Dubai LLC,138673,0,Yes,04-3367777,srolf@abdubai.com,www.American.com,Oud Metha Road Besides Our Own Model School Bur Dubai Dubai Unite,Oud Metha Road Besides Our Own Model School Bur Dubai Dubai Unite,64642555,50000,90,Bank of Nova Scotia,American LLC,100439209600003,Derma/PS,,Ali Altaaye,,,
22310701,22310701,Grace Medical Centre,0,0,Yes,02-4430909,drsami.grace@gmail.com,www.Grace.com,26th street Abu Dhabi United Arab Emirates,26th street Abu Dhabi United Arab Emirates,70142555,0,0,KBC Group NV,Grace LLC,,Beauty Center,,Fatima Saif Al / mr. samir,04-3232141,,
22310747,22310747,Marjan Beauty Saloon JLT,-150,0,Yes,04-4233700,marjan.saloon@yahoo.com / mar,www.Marjan.com,Shop# 6 Saba Tower 1 Jumeirah Lakes Towers Dubai United Arab Emir,Shop# 6 Saba Tower 1 Jumeirah Lakes Towers Dubai United Arab Emir,74742555,0,0,Morgan Stanley,Marjan LLC,100288432600003,Dental,,Souheil Hussaini,,,
