id,itmCode,itmName,opeQty,cloQty,itmActive,itmLogo,uPrice,brand,supplier,barCode,uom,min,max,roQty,discount,taxable,input,output,bisUnit,itmType,expiry,ref,comment
10001000,10001000,Microneedling RF,10,0,Yes,images/itmLogo/File_V2tfVvC.jpg,22475,ADSS,Adss Laser Co,110-51533-10010,PCs,2,10,5,20,Yes,0,5,Equipment,Machine,0,"Beauty salon, hospitals, skin care centers, spa etc",
10001001,10001001,Microneedling RF - HandPiece,12,0,Yes,images/itmLogo/File_nMg6vrr.jpg,3375,ADSS,Adss Laser Co,110-51533-10011,PCs,15,40,10,50,Yes,0,5,Equipment,Handpiece,0,"Beauty salon, hospitals, skin care centers, spa etc",
10002000,10002000,Diode Laser Hair Removal Device,2,0,Yes,images/itmLogo/File_IUW5iwH.jpg,36700,ADSS,Adss Laser Co,110-51533-20010,PCs,2,7,3,20,Yes,0,5,Equipment,Machine,0,"Hair Removal Device: Beauty salon, hospitals, skin care centers, spa etc.",
10003000,10003000,Portable Diode Laser Hair Removal Equipment,1,0,Yes,images/itmLogo/File_rN0im4M.jpg,33700,ADSS,Adss Laser Co,110-51533-30010,PCs,1,5,2,25,Yes,0,5,Equipment,Machine,0,"Laser Hair Removal:  Beauty salon, hospitals, skin care centers, spa etc.",
10003001,10003001,Portable Diode Laser Hair Removal Equipment - Hand Piece,5,0,Yes,images/itmLogo/File_ifVCymy.jpg,4500,ADSS,Adss Laser Co,110-51533-30011,PCs,10,30,5,40,Yes,0,5,Equipment,Hand Piece,0,Laser Hair Removal,
10004000,10004000,RF Fractional CO2 Laser,2,0,Yes,images/itmLogo/File_XA0dDzD.jpg,58500,Risen,Skin for Life LLC,110-51533-40010,PCs,1,5,2,20,Yes,0,5,Equipment,Machine,0,"Radio Frequency Laser: Hospitals, skin care centers,",
10004001,10004001,RF Fractional CO2 Laser - Handpiece,2,0,Yes,images/itmLogo/File_L9wYDdU.jpg,5500,Risen,Skin for Life LLC,110-51533-40010,PCs,3,15,5,35,Yes,0,5,Machine,Hand Piece,0,"Radio Frequency Laser: Hospitals, skin care centers,",
10004002,10004002,RF Fractional CO2 Laser - Accessories,10,0,Yes,images/itmLogo/File_rdJMA4Y.jpg,1000,Risen,Skin for Life LLC,110-51533-40015,PCs,15,25,10,15,Yes,0,5,Equipment,Accessories,0,"Radio Frequency Laser: Hospitals, skin care centers,",
10005000,10005000,Bruun Mci,10,0,Yes,images/itmLogo/File_qXVDI6i.jpg,62000,Bruun MCI,Bruun plc,110-51533-50015,PCs,3,15,5,35,Yes,0,5,Equipment,Machine,0,"Body Sliming: Hospitals, skin care centers",
10006000,10006000,Caviation Laser,10,0,Yes,images/itmLogo/File_mVAHiPn.jpg,17500,Caviation,Caviation Laser Co,110-51533-50015,PCs,7,9,7,13,Yes,0,5,Equipment,Machine,0,"Body Sliming: Hospitals, skin care centers",
10007000,10007000,Crio Lipo,12,0,Yes,images/itmLogo/File_opn6qi9.jpg,26000,Crio,Crio and Co LLC,110-51533-50016,PCs,2,10,5,20,Yes,0,5,Equipment,Machine,0,"Body Sliming: Hospitals, skin care centers",
10008000,10008000,DeodLeaser,1,0,Yes,images/itmLogo/File_iIKfa8f.jpg,11000,Deod,Deod and Co LLC,110-51533-50018,PCs,2,7,3,20,Yes,0,5,Equipment,Machine,0,"Body Sliming: Hospitals, skin care centers",
10008001,10008001,DeodLeaser Hand Piece,2,0,Yes,images/itmLogo/File_H5hubci.jpg,1500,Deod,Deod and Co LLC,110-51533-50017,PCs,15,40,10,50,Yes,0,5,Equipment,Hand Piece,0,"Body Sliming: Hospitals, skin care centers",
10009000,10009000,G5 Slimming,2,0,Yes,images/itmLogo/File_YqHw6f1.jpg,37000,G5 ,G5  and Co LLC,110-51533-50020,PCs,10,30,5,40,Yes,0,5,Equipment,Machine,0,"Body Sliming: Hospitals, skin care centers",
