dlRefSt,opnCloSt,traDate,action
2300050,Open,2023-5-29 22-9-2, 
2300051,Open,2023-5-29 22-9-19, 
2300052,Open,2023-5-29 22-9-35, 
2300053,Open,2023-5-29 22-9-59, 
2300054,Open,2023-5-29 22-10-18, 
2300055,Open,2023-5-29 22-10-33, 
2300056,Open,2023-5-29 22-10-52, 
2300057,Open,2023-5-29 22-11-12, 
2300058,Open,2023-5-29 22-11-37, 
2300059,Open,2023-5-29 22-12-7, 
2300060,Open,2023-5-29 22-13-8, 
2300061,Open,2023-5-29 22-13-26, 
2300062,Open,2023-5-29 22-13-41, 
2300063,Open,2023-5-29 22-13-56, 
2300064,Open,2023-5-29 22-14-12, 
2300065,Open,2023-5-29 22-14-36, 
2300066,Open,2023-5-29 22-14-54, 
2300067,Open,2023-5-29 22-15-12, 
2300068,Open,2023-5-29 22-15-42, 
2300069,Open,2023-5-29 22-15-57, 
2300070,Open,2023-5-29 22-16-36, 
2300071,Open,2023-5-29 22-16-56, 
2300072,Open,2023-5-29 22-17-16, 
2300073,Open,2023-5-29 22-17-32, 
2300074,Open,2023-5-29 22-17-55, 
2300075,Open,2023-5-29 22-18-7, 
2300076,Open,2023-5-29 22-18-33, 
2300077,Open,2023-5-29 22-18-50, 
2300078,Open,2023-5-29 22-19-3, 
2300079,Open,2023-5-29 22-19-17, 
2300080,Open,2023-5-29 22-19-31, 
2300081,Open,2023-5-29 22-19-49, 
2300082,Open,2023-5-29 22-20-6, 
2300083,Open,2023-5-29 22-20-22, 
2300084,Open,2023-5-29 22-20-38, 
2300085,Open,2023-5-29 22-20-56, 
2300086,Open,2023-5-29 22-21-19, 
2300087,Open,2023-5-29 22-21-40, 
2300088,Open,2023-5-29 22-21-56, 
2300089,Open,2023-5-29 22-22-14, 
2300090,Open,2023-5-29 22-22-28, 
2300091,Open,2023-5-29 22-22-41, 
2300092,Open,2023-5-29 22-22-55, 
2300093,Open,2023-5-29 22-23-8, 
2300094,Open,2023-5-29 22-23-22, 
2300095,Open,2023-5-29 22-23-40, 
2300096,Open,2023-5-29 22-23-59, 
2300097,Open,2023-5-29 22-24-15, 
2300098,Open,2023-5-29 22-24-30, 
2300099,Open,2023-5-29 22-25-10, 
2300100,Open,2023-5-29 22-25-25, 
2300101,Open,2023-5-29 22-25-41, 
2300102,Open,2023-5-29 22-25-56, 
2300103,Open,2023-5-29 22-27-5, 
2300003,Closed,2023-5-29 22-27-46,
2300004,Closed,2023-5-29 22-28-1,
2300001,Closed,2023-5-29 22-28-14,
2300002,Closed,2023-5-29 22-28-39,
2300007,Closed,2023-5-29 22-28-59,
2300005,Closed,2023-5-29 22-29-9,
2300006,Closed,2023-5-29 22-29-30,
2300010,Closed,2023-5-29 22-29-42,
2300008,Closed,2023-5-29 22-29-56,
2300009,Closed,2023-5-29 22-30-10,
2300012,Closed,2023-5-29 22-30-22,
2300011,Closed,2023-5-29 22-30-43,
2300015,Closed,2023-5-29 22-30-53,
2300013,Closed,2023-5-29 22-31-7,
2300016,Closed,2023-5-29 22-31-23,
2300014,Closed,2023-5-29 22-31-35,
2300018,Closed,2023-5-29 22-31-46,
2300017,Closed,2023-5-29 22-31-59,
2300020,Closed,2023-5-29 22-33-50,
2300019,Closed,2023-5-29 22-34-2,
2300023,Closed,2023-5-29 22-34-15,
2300021,Closed,2023-5-29 22-36-3,
2300022,Closed,2023-5-29 22-36-27,
2300026,Closed,2023-5-29 22-36-40,
2300024,Closed,2023-5-29 22-36-52,
2300025,Closed,2023-5-29 22-37-4,
2300028,Closed,2023-5-29 22-37-16,
2300030,Closed,2023-5-29 22-37-33,
2300031,Closed,2023-5-29 22-37-45,
2300033,Closed,2023-5-29 22-37-56,
2300027,Closed,2023-5-29 22-38-7,
2300029,Closed,2023-5-29 22-38-18,
2300032,Closed,2023-5-29 22-38-31,
2300037,Closed,2023-5-29 22-38-49,
2300036,Closed,2023-5-29 22-39-1,
2300034,Closed,2023-5-29 22-39-13,
2300035,Closed,2023-5-29 22-39-25,
2300039,Closed,2023-5-29 22-39-39,
2300038,Closed,2023-5-29 22-39-50,
2300041,Closed,2023-5-29 22-40-3,
2300047,Closed,2023-5-29 22-40-15,
2300040,Closed,2023-5-29 22-40-28,
2300042,Closed,2023-5-29 22-40-39,
2300043,Closed,2023-5-29 22-40-52,
2300046,Closed,2023-5-29 22-41-2,
2300049,Closed,2023-5-29 22-41-13,
2300044,Closed,2023-5-29 22-41-26,
2300045,Closed,2023-5-29 22-41-37,
2300048,Closed,2023-5-29 22-41-51,
2300104,Open,2023-6-3 1-48-10, 
2300105,Open,2023-6-3 1-48-29, 
2300107,Open,2023-6-3 1-50-8, 
2300108,Open,2023-6-3 2-6-42, 
2300109,Open,2023-6-3 2-7-12, 
2300110,Open,2023-6-3 2-7-36, 
2300111,Open,2023-6-3 2-8-19, 
2300112,Open,2023-6-3 2-8-47, 
2300113,Open,2023-6-3 2-11-26, 
2300114,Open,2023-6-3 2-11-51, 
2300115,Open,2023-6-3 2-12-16, 
2300116,Open,2023-6-3 2-12-42, 
2300117,Open,2023-6-3 2-13-0, 
2300118,Open,2023-6-3 2-13-39, 
2300119,Open,2023-6-3 2-14-50, 
2300120,Open,2023-6-3 2-15-9, 
2300121,Open,2023-6-3 2-15-51, 
2300122,Open,2023-6-3 2-21-55, 
2300123,Open,2023-6-3 2-22-12, 
2300124,Open,2023-6-3 2-22-41, 
2300125,Open,2023-6-3 2-23-11, 
2300126,Open,2023-6-3 2-23-41, 
2300127,Open,2023-6-3 2-24-13, 
2300128,Open,2023-6-3 2-34-26, 
2300129,Open,2023-6-3 2-34-48, 
2300130,Open,2023-6-3 2-35-2, 
2300131,Open,2023-6-3 2-35-26, 
2300132,Open,2023-6-3 2-35-45, 
2300133,Open,2023-6-3 2-36-6, 
2300134,Open,2023-6-3 2-36-31, 
2300135,Open,2023-6-3 2-37-38, 
2300136,Open,2023-6-3 2-37-59, 
2300137,Open,2023-6-3 2-38-23, 
2300138,Open,2023-6-3 2-39-3, 
2300139,Open,2023-6-3 2-39-58, 
2300140,Open,2023-6-3 2-41-39, 
2300141,Open,2023-6-3 2-42-16, 
2300142,Open,2023-6-3 2-42-58, 
2300143,Open,2023-6-3 2-43-24, 
2300144,Open,2023-6-3 2-43-51, 
2300145,Open,2023-6-3 2-44-8, 
2300146,Open,2023-6-3 2-45-3, 
2300147,Open,2023-6-3 2-45-24, 
2300148,Open,2023-6-3 2-45-59, 
2300149,Open,2023-6-3 2-46-18, 
2300150,Open,2023-6-3 2-46-50, 
2300151,Open,2023-6-3 2-47-5, 
2300152,Open,2023-6-3 2-47-42, 
2300153,Open,2023-6-3 2-47-58, 
2300154,Open,2023-6-3 2-48-45, 
2300155,Open,2023-6-3 2-49-3, 
2300156,Open,2023-6-3 2-49-29, 
2300157,Open,2023-6-3 2-49-50, 
2300158,Open,2023-6-3 2-50-34, 
2300159,Open,2023-6-3 2-51-7, 
2300160,Open,2023-6-3 2-51-24, 
2300161,Open,2023-6-3 2-52-17, 
2300162,Open,2023-6-3 2-54-36, 
2300163,Open,2023-6-3 3-4-18, 
2300164,Open,2023-6-3 3-5-26, 
2300165,Open,2023-6-3 3-5-58, 
2300166,Open,2023-6-3 3-6-19, 
2300167,Open,2023-6-3 3-7-16, 
2300168,Open,2023-6-3 3-7-50, 
2300169,Open,2023-6-3 3-8-13, 
2300170,Open,2023-6-3 3-9-1, 
2300171,Open,2023-6-3 3-9-30, 
2300172,Open,2023-6-3 3-10-11, 
2300173,Open,2023-6-3 3-11-17, 
2300174,Open,2023-6-3 3-12-8, 
2300175,Open,2023-6-3 3-13-34, 
2300176,Open,2023-6-3 3-15-2, 
2300177,Open,2023-6-3 3-15-22, 
2300178,Open,2023-6-3 3-16-32, 
2300179,Open,2023-6-3 3-18-4, 
2300180,Open,2023-6-3 3-19-52, 
2300181,Open,2023-6-3 3-20-23, 
2300182,Open,2023-6-3 3-21-0, 
2300183,Open,2023-6-3 3-21-24, 
2300184,Open,2023-6-3 3-21-55, 
2300185,Open,2023-6-3 3-22-17, 
2300186,Open,2023-6-3 3-23-4, 
2300187,Open,2023-6-3 3-23-49, 
2300188,Open,2023-6-3 3-24-6, 
2300189,Open,2023-6-3 3-24-37, 
2300190,Open,2023-6-3 3-26-11, 
2300191,Open,2023-6-3 3-26-27, 
2300192,Open,2023-6-3 3-27-50, 
2300193,Open,2023-6-3 3-28-14, 
2300194,Open,2023-6-3 3-29-6, 
2300195,Open,2023-6-3 3-30-0, 
2300196,Open,2023-6-3 3-30-28, 
2300197,Open,2023-6-3 3-31-1, 
2300198,Open,2023-6-3 3-31-25, 
2300199,Open,2023-6-3 3-31-42, 
2300200,Open,2023-6-3 3-32-3, 
2300201,Open,2023-6-3 3-32-19, 
2300202,Open,2023-6-3 3-32-47, 
2300203,Open,2023-6-3 3-33-30, 
2300204,Open,2023-6-3 3-34-52, 
2300205,Open,2023-6-3 3-35-13, 
2300206,Open,2023-6-3 3-35-46, 
2300207,Open,2023-6-3 3-36-18, 
2300208,Open,2023-6-3 3-36-43, 
2300209,Open,2023-6-3 3-37-7, 
2300210,Open,2023-6-3 3-37-33, 
2300211,Open,2023-6-3 3-38-47, 
2300212,Open,2023-6-3 3-39-17, 
2300213,Open,2023-6-3 3-39-37, 
2300214,Open,2023-6-3 3-40-21, 
2300215,Open,2023-6-3 3-40-44, 
2300216,Open,2023-6-3 3-41-14, 
2300217,Open,2023-6-3 3-41-55, 
2300218,Open,2023-6-3 3-44-41, 
2300219,Open,2023-6-3 3-44-55, 
2300220,Open,2023-6-3 3-45-18, 
2300221,Open,2023-6-3 3-45-37, 
2300222,Open,2023-6-3 3-46-32, 
2300223,Open,2023-6-3 3-46-46, 
2300224,Open,2023-6-3 3-47-1, 
2300225,Open,2023-6-3 3-47-20, 
2300226,Open,2023-6-3 3-47-38, 
2300227,Open,2023-6-3 3-48-17, 
2300228,Open,2023-6-3 3-48-43, 
2300229,Open,2023-6-3 3-49-5, 
2300230,Open,2023-6-3 3-49-19, 
2300231,Open,2023-6-3 3-49-38, 
2300232,Open,2023-6-3 3-50-9, 
2300233,Open,2023-6-3 3-50-23, 
2300234,Open,2023-6-3 3-50-50, 
2300235,Open,2023-6-3 3-51-10, 
2300236,Open,2023-6-3 3-51-45, 
2300237,Open,2023-6-3 3-52-0, 
2300238,Open,2023-6-3 3-52-53, 
2300239,Open,2023-6-3 3-53-9, 
2300240,Open,2023-6-3 3-53-30, 
2300241,Open,2023-6-3 3-53-43, 
2300242,Open,2023-6-3 3-54-5, 
2300243,Open,2023-6-3 3-54-22, 
2300244,Open,2023-6-3 3-54-38, 
2300245,Open,2023-6-3 3-54-55, 
2300246,Open,2023-6-3 3-55-7, 
2300247,Open,2023-6-3 3-55-21, 
2300248,Open,2023-6-3 3-56-14, 
2300249,Open,2023-6-3 3-57-2, 
2300250,Open,2023-6-3 3-57-21, 
2300251,Open,2023-6-3 3-57-33, 
2300252,Open,2023-6-3 3-57-48, 
2300253,Open,2023-6-3 3-57-59, 
2300254,Open,2023-6-3 3-58-12, 
2300255,Open,2023-6-3 3-58-30, 
2300256,Open,2023-6-3 3-58-49, 
2300257,Open,2023-6-3 3-59-5, 
2300258,Open,2023-6-3 3-59-25, 
2300259,Open,2023-6-3 3-59-46, 
2300260,Open,2023-6-3 4-0-4, 
2300261,Open,2023-6-3 4-0-24, 
2300262,Open,2023-6-3 4-0-43, 
