id,dlRef,sno,itmCod,desc,qty,price,disc,tot,vat,traDate,action
2300001,2300001,1,10018001,SVTA Radio Hand Pice 1,2,1680,360,3150,150,2023-5-29 21-39-54, 
2300001,2300001,2,10018002,SVTA Radio Hand Pice 2,1,2100,300,1890,90,2023-5-29 21-39-54, 
2300002,2300002,1,10001000,Microneedling RF,1,31465,2465,30450,1450,2023-5-29 21-40-11, 
2300002,2300002,2,10001001,Microneedling RF - HandPiece,2,4725,1450,8400,400,2023-5-29 21-40-11, 
2300002,2300002,3,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,1700,6300,300,2023-5-29 21-40-11, 
2300002,2300002,4,10004002,RF Fractional CO2 Laser - Accessories,2,1400,400,2520,120,2023-5-29 21-40-11, 
2300003,2300003,1,10001000,Microneedling RF,1,31465,2465,30450,1450,2023-5-29 21-40-26, 
2300003,2300003,2,10001001,Microneedling RF - HandPiece,1,4725,650,4278.75,203.75,2023-5-29 21-40-26, 
2300004,2300004,1,10004000,RF Fractional CO2 Laser,1,81900,2900,82950,3950,2023-5-29 21-40-46, 
2300004,2300004,2,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,300,7770,370,2023-5-29 21-40-46, 
2300005,2300005,1,10018003,SVTA Radio Hand Pice 3,3,1960,1880,4200,200,2023-5-29 21-41-3, 
2300005,2300005,2,10018004,SVTA Radio Hand Pice 4,1,1820,320,1575,75,2023-5-29 21-41-3, 
2300006,2300006,1,10008000,DeodLeaser,1,15400,300,15855,755,2023-5-29 21-43-44, 
2300006,2300006,2,10009001,G5 Slimming Applicators,1,2800,255,2672.25,127.25,2023-5-29 21-43-44, 
2300006,2300006,3,10014000,Konmision,1,39200,1200,39900,1900,2023-5-29 21-43-44, 
2300007,2300007,1,10018007,SVTA Radio Hand Pice 7,2,2520,500,4767,227,2023-5-29 21-44-5, 
2300007,2300007,2,10018008,SVTA Radio Hand Pice 8,1,1400,30,1438.5,68.5,2023-5-29 21-44-5, 
2300007,2300007,3,10018000,SVTA Radio,1,25200,3200,23100,1100,2023-5-29 21-44-5, 
2300008,2300008,1,10007000,Crio Lipo,1,36400,3400,34650,1650,2023-5-29 21-44-24, 
2300008,2300008,2,10008001,DeodLeaser Hand Piece,3,2100,1300,5250,250,2023-5-29 21-44-24, 
2300009,2300009,1,10007000,Crio Lipo,1,36400,4400,33600,1600,2023-5-29 21-45-4, 
2300009,2300009,2,10008001,DeodLeaser Hand Piece,1,2100,300,1890,90,2023-5-29 21-45-4, 
2300010,2300010,1,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,500,7560,360,2023-5-29 21-45-21, 
2300010,2300010,2,10004002,RF Fractional CO2 Laser - Accessories,2,1400,20,2919,139,2023-5-29 21-45-21, 
2300011,2300011,1,10018004,SVTA Radio Hand Pice 4,1,1820,220,1680,80,2023-5-29 21-45-44, 
2300011,2300011,2,10018005,SVTA Radio Hand Pice 5,1,2240,240,2100,100,2023-5-29 21-45-44, 
2300012,2300012,1,10008000,DeodLeaser,1,15400,2400,13650,650,2023-5-29 21-46-10, 
2300012,2300012,2,10009001,G5 Slimming Applicators,1,2800,240,2688,128,2023-5-29 21-46-10, 
2300013,2300013,1,10017000,SPA Slim,1,8400,400,8400,400,2023-5-29 21-57-37, 
2300013,2300013,2,10018001,SVTA Radio Hand Pice 1,2,1680,360,3150,150,2023-5-29 21-57-37, 
2300014,2300014,1,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,700,7350,350,2023-5-29 21-58-22, 
2300014,2300014,2,10004002,RF Fractional CO2 Laser - Accessories,4,1400,1600,4200,200,2023-5-29 21-58-22, 
2300015,2300015,1,10018000,SVTA Radio,1,25200,500,25935,1235,2023-5-29 21-58-46, 
2300015,2300015,2,10018001,SVTA Radio Hand Pice 1,1,1680,180,1575,75,2023-5-29 21-58-46, 
2300015,2300015,3,10018002,SVTA Radio Hand Pice 2,1,2100,200,1995,95,2023-5-29 21-58-46, 
2300015,2300015,4,10018003,SVTA Radio Hand Pice 3,1,1960,190,1858.5,88.5,2023-5-29 21-58-46, 
2300015,2300015,5,10018004,SVTA Radio Hand Pice 4,1,1820,220,1680,80,2023-5-29 21-58-46, 
2300016,2300016,1,10006000,Caviation Laser,2,24500,6000,45150,2150,2023-5-29 21-59-12, 
2300017,2300017,1,10019000,VCA Laser,1,39200,3200,37800,1800,2023-5-29 21-59-27, 
2300017,2300017,2,10019001,VCA Leaser Hand Piece,1,40000,4000,37800,1800,2023-5-29 21-59-27, 
2300018,2300018,1,10011000,Hydra Fresh,1,74200,14200,63000,3000,2023-5-29 21-59-44, 
2300018,2300018,2,10013000,Jumia,1,25200,5200,21000,1000,2023-5-29 21-59-44, 
2300018,2300018,3,10016000,My Ultrasonic,2,9800,1600,18900,900,2023-5-29 21-59-44, 
2300019,2300019,1,10012000,Hydra-new,1,16800,280,17346,826,2023-5-29 22-0-2, 
2300019,2300019,2,10013000,Jumia,1,25200,3200,23100,1100,2023-5-29 22-0-2, 
2300020,2300020,1,10003000,Portable Diode Laser Hair Removal Equipment,1,47180,6180,43050,2050,2023-5-29 22-0-18, 
2300020,2300020,2,10003001,Portable Diode Laser Hair Removal Equipment - Hand Piece,3,6300,3900,15750,750,2023-5-29 22-0-18, 
2300021,2300021,1,10018005,SVTA Radio Hand Pice 5,1,2240,240,2100,100,2023-5-29 22-0-35, 
2300021,2300021,2,10018006,SVTA Radio Hand Pice 6,2,2380,1760,3150,150,2023-5-29 22-0-35, 
2300022,2300022,1,10018000,SVTA Radio,2,25200,4400,48300,2300,2023-5-29 22-0-53, 
2300022,2300022,2,10019000,VCA Laser,1,39200,320,40824,1944,2023-5-29 22-0-53, 
2300023,2300023,1,10018003,SVTA Radio Hand Pice 3,3,1960,880,5250,250,2023-5-29 22-1-10, 
2300023,2300023,2,10018004,SVTA Radio Hand Pice 4,1,1820,220,1680,80,2023-5-29 22-1-10, 
2300024,2300024,1,10001000,Microneedling RF,1,31465,2465,30450,1450,2023-5-29 22-1-30, 
2300024,2300024,2,10001001,Microneedling RF - HandPiece,2,4725,2450,7350,350,2023-5-29 22-1-30, 
2300025,2300025,1,10016000,My Ultrasonic,2,9800,2600,17850,850,2023-5-29 22-1-42, 
2300026,2300026,1,10019000,VCA Laser,2,39200,9400,72450,3450,2023-5-29 22-2-2, 
2300026,2300026,2,10019001,VCA Leaser Hand Piece,1,40000,4000,37800,1800,2023-5-29 22-2-2, 
2300027,2300027,1,10009000,G5 Slimming,1,51800,3800,50400,2400,2023-5-29 22-2-22, 
2300027,2300027,2,10009001,G5 Slimming Applicators,3,2800,1400,7350,350,2023-5-29 22-2-22, 
2300027,2300027,3,10010000,Hiemt A,1,85400,4400,85050,4050,2023-5-29 22-2-22, 
2300028,2300028,1,10018001,SVTA Radio Hand Pice 1,2,1680,360,3150,150,2023-5-29 22-2-39, 
2300028,2300028,2,10018002,SVTA Radio Hand Pice 2,1,2100,300,1890,90,2023-5-29 22-2-39, 
2300029,2300029,1,10008001,DeodLeaser Hand Piece,2,2100,300,4095,195,2023-5-29 22-2-52, 
2300029,2300029,2,10008000,DeodLeaser,1,15400,3400,12600,600,2023-5-29 22-2-52, 
2300030,2300030,1,10015000,Mickcara,1,43400,4400,40950,1950,2023-5-29 22-3-6, 
2300030,2300030,2,10016000,My Ultrasonic,2,9800,3600,16800,800,2023-5-29 22-3-6, 
2300031,2300031,1,10008001,DeodLeaser Hand Piece,2,2100,300,4095,195,2023-5-29 22-3-28, 
2300032,2300032,1,10018001,SVTA Radio Hand Pice 1,1,1680,280,1470,70,2023-5-29 22-3-45, 
2300032,2300032,2,10018000,SVTA Radio,1,25200,3200,23100,1100,2023-5-29 22-3-45, 
2300033,2300033,1,10004000,RF Fractional CO2 Laser,1,81900,3900,81900,3900,2023-5-29 22-4-1, 
2300034,2300034,1,10008001,DeodLeaser Hand Piece,2,2100,350,4042.5,192.5,2023-5-29 22-4-20, 
2300035,2300035,1,10019000,VCA Laser,1,39200,6200,34650,1650,2023-5-29 22-4-33, 
2300035,2300035,2,10019001,VCA Leaser Hand Piece,2,40000,7500,76125,3625,2023-5-29 22-4-33, 
2300036,2300036,1,10008000,DeodLeaser,1,15400,3400,12600,600,2023-5-29 22-4-49, 
2300036,2300036,2,10008001,DeodLeaser Hand Piece,1,2100,300,1890,90,2023-5-29 22-4-49, 
2300037,2300037,1,10004001,RF Fractional CO2 Laser - Handpiece,2,7700,500,15645,745,2023-5-29 22-5-8, 
2300037,2300037,2,10004002,RF Fractional CO2 Laser - Accessories,3,1400,20,4389,209,2023-5-29 22-5-8, 
2300038,2300038,1,10019000,VCA Laser,1,39200,3200,37800,1800,2023-5-29 22-5-28, 
2300038,2300038,2,10019001,VCA Leaser Hand Piece,1,40000,4000,37800,1800,2023-5-29 22-5-28, 
2300039,2300039,1,10004000,RF Fractional CO2 Laser,2,81900,2900,168945,8045,2023-5-29 22-5-42, 
2300039,2300039,2,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,300,7770,370,2023-5-29 22-5-42, 
2300040,2300040,1,10018001,SVTA Radio Hand Pice 1,3,1680,280,4998,238,2023-5-29 22-6-0, 
2300040,2300040,2,10018000,SVTA Radio,1,25200,3200,23100,1100,2023-5-29 22-6-0, 
2300041,2300041,1,10013000,Jumia,1,25200,2200,24150,1150,2023-5-29 22-6-34, 
2300041,2300041,2,10014000,Konmision,1,39200,3200,37800,1800,2023-5-29 22-6-34, 
2300042,2300042,1,10018004,SVTA Radio Hand Pice 4,3,1820,220,5502,262,2023-5-29 22-6-55, 
2300042,2300042,2,10018005,SVTA Radio Hand Pice 5,3,2240,240,6804,324,2023-5-29 22-6-55, 
2300043,2300043,1,10018004,SVTA Radio Hand Pice 4,1,1820,200,1701,81,2023-5-29 22-7-12, 
2300043,2300043,2,10018005,SVTA Radio Hand Pice 5,1,2240,140,2205,105,2023-5-29 22-7-12, 
2300044,2300044,1,10001000,Microneedling RF,1,31465,2465,30450,1450,2023-5-29 22-7-25, 
