id,soRef,soDat,cusCode,cusName,soTBD,soTAD,soTax,soTAT,shipTo,soComm,opnClo,spCName,spCode,qotRef,qotDat,traDate,action
2300000,2300000,,,,,,,,,,,,,,,,
2300001,2300001,1/21/2023,22310133,Al Samnan Clinic,18200,15560,778,16338,Al Wasit Street Samnan Sharjah United Arab Emirates,Deod Leaser and G5 Slimming Applicators to Al Samnan Clinic,Open,Allen Madrid Gomez,598,2300012,1/9/2023,2023-5-28 15-11-39, 
2300002,2300002,1/23/2023,22310097,Sahar Pharmacy,10500,9980,499,10479,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,RF Fractional CO2 Laser Handpiece and Accessories to Sahar Pharmacy,Open,Tampos Antonio Magalona,415,2300002,1/11/2023,2023-5-28 15-11-47, 
2300003,2300003,2/4/2023,22310097,Sahar Pharmacy,31640,27910,1396,29306,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,SVTA Radio and Hand Pice 7 & 8 Sahar Pharmacy,Open,Allen Joseph Anora,365,2300007,1/23/2023,2023-5-28 15-11-54, 
2300004,2300004,1/24/2023,22310182,Spaces Spa Center,5460,4800,240,5040,Oasis Center Dubai United Arab Emirates,SVTA Radio Hand Pice 1 to Spaces Spa Center,Open,Ariel Abapo Naciogoyo,370,2300015,1/12/2023,2023-5-28 15-12-2, 
2300005,2300005,3/11/2023,22310093,Women's Medical Center (Dr. Ameena),11760,11000,550,11550,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,SPA Slim & SVTA Radio Hand Pice 1 to Women's Medical Center (Dr. Ameena),Open,Ariel Abapo Naciogoyo,370,2300029,2/27/2023,2023-5-28 15-12-10, 
2300006,2300006,1/14/2023,22310029,Al Jameya Pharmacy,51415,45400,2270,47670,Union Cooperative Society  Ghusais,Microneedling RF and RF Fractional Laser to Al Jameya Pharmacy,Open,Allen Joseph Anora,365,2300001,1/2/2023,2023-5-28 15-12-18, 
2300007,2300007,1/16/2023,22310029,Al Jameya Pharmacy,57400,55645,2782,58427,Union Cooperative Society  Ghusais,Deod Leaserto Al Jameya Pharmacy,Open,Ariel Abapo Naciogoyo,370,2300004,1/4/2023,2023-5-28 15-12-24, 
2300008,2300008,2/10/2023,22310131,Ali Bin Ali Medical,13300,11000,550,11550,Doha Qatar,RF Fractional CO2 Laser - Handpiece to Ali Bin Ali Medical,Open,Lucero Jackson Riconose,418,2300009,1/29/2023,2023-5-28 15-12-31, 
2300009,2300009,1/16/2023,22310055,Al Noor Pharmacy,89600,86400,4320,90720,Mina,RF Fractional CO2 Laser and Handpiece to Al Noor Pharmacy,Open,Franco Viola Parota,366,2300003,1/4/2023,2023-5-28 15-12-37, 
2300010,2300010,2/7/2023,22310200,German Clinic FZ LLC,7700,5500,275,5775,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,SVTA Radio Hand Pice 3 & 4,Open,Dev Kumar Rai,894,2300017,1/26/2023,2023-5-28 15-12-42, 
2300011,2300011,1/17/2023,22310093,Women's Medical Center (Dr. Ameena),36190,33075,1654,34729,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,Microneedling RF and HandPiece to Women's Medical Center (Dr. Ameena),Open,Ariel Abapo Naciogoyo,370,2300005,1/5/2023,2023-5-28 15-12-48, 
2300012,2300012,2/7/2023,22310200,German Clinic FZ LLC,42700,38000,1900,39900,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,Crio Lipo and DeodLeaser Hand Piece to German Clinic FZ LLC,Open,Dev Kumar Rai,894,2300016,1/26/2023,2023-5-28 15-12-57, 
2300013,2300013,2/4/2023,22310093,Women's Medical Center (Dr. Ameena),4060,3600,180,3780,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,VTA Radio Hand Pice 4 and 5 Women's Medical Center (Dr. Ameena),Open,Jaime  Endaya,417,2300006,1/23/2023,2023-5-28 15-13-2, 
2300014,2300014,2/7/2023,22310269,Flora Beauty Spa,49000,43000,2150,45150,Umm Ramool Rashidiya Dubai United Arab Emirates,Caviation Laser to Flora Beauty Spa,Open,Joyson Joseph Kalaparambath,1098,2300021,1/26/2023,2023-5-28 15-13-8, 
2300015,2300015,1/31/2023,22310131,Ali Bin Ali Medical,38500,33800,1690,35490,Doha Qatar,Crio Lipo & DeodLeaser Hand Piece to Ali Bin Ali Medical,Open,Sanjay Kumar Mandal,329,2300010,1/19/2023,2023-5-28 15-13-13, 
2300016,2300016,1/17/2023,22310131,Ali Bin Ali Medical,32760,31470,1574,33044,Doha Qatar,"SVTA Radio and Hand Pice 1, 2, 3 , 4, 5 to Ali Bin Ali Medical",Open,Jalil Khadim Hussain,1008,2300011,1/5/2023,2023-5-28 15-13-18, 
2300017,2300017,2/7/2023,22310439,NAS Medical,119000,98000,4900,102900,Dubai United Arab Emirates,Hydra Fresh,Open,Ariel Abapo Naciogoyo,370,2300024,1/26/2023,2023-5-28 15-13-24, 
2300018,2300018,2/11/2023,22310133,Al Samnan Clinic,42000,38520,1926,40446,Al Wasit Street Samnan Sharjah United Arab Emirates,Hydra-new and Jumia to Al Samnan Clinic,Open,Franco Viola Parota,366,2300013,1/30/2023,2023-5-28 15-13-29, 
2300019,2300019,2/17/2023,22310055,Al Noor Pharmacy,66080,56000,2800,58800,Mina,Portable Diode Laser Hair Removal Equipment to Al Noor Pharmacy,Open,Franco Viola Parota,366,2300027,2/5/2023,2023-5-28 15-13-35, 
