id,soRef,sno,itmCod,desc,qty,price,disc,tot,traDate,action
2300001,2300001,1,10008000,DeodLeaser,1,15400,2400,13000,2023-5-28 15-11-39, 
2300001,2300001,2,10009001,G5 Slimming Applicators,1,2800,240,2560,2023-5-28 15-11-39, 
2300002,2300002,1,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,500,7200,2023-5-28 15-11-47, 
2300002,2300002,2,10004002,RF Fractional CO2 Laser - Accessories,2,1400,20,2780,2023-5-28 15-11-47, 
2300003,2300003,1,10018007,SVTA Radio Hand Pice 7,2,2520,500,4540,2023-5-28 15-11-54, 
2300003,2300003,2,10018008,SVTA Radio Hand Pice 8,1,1400,30,1370,2023-5-28 15-11-54, 
2300003,2300003,3,10018000,SVTA Radio,1,25200,3200,22000,2023-5-28 15-11-54, 
2300004,2300004,1,10018001,SVTA Radio Hand Pice 1,2,1680,360,3000,2023-5-28 15-12-2, 
2300004,2300004,2,10018002,SVTA Radio Hand Pice 2,1,2100,300,1800,2023-5-28 15-12-2, 
2300005,2300005,1,10017000,SPA Slim,1,8400,400,8000,2023-5-28 15-12-10, 
2300005,2300005,2,10018001,SVTA Radio Hand Pice 1,2,1680,360,3000,2023-5-28 15-12-10, 
2300006,2300006,1,10001000,Microneedling RF,1,31465,2465,29000,2023-5-28 15-12-18, 
2300006,2300006,2,10001001,Microneedling RF - HandPiece,2,4725,1450,8000,2023-5-28 15-12-18, 
2300006,2300006,3,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,1700,6000,2023-5-28 15-12-18, 
2300006,2300006,4,10004002,RF Fractional CO2 Laser - Accessories,2,1400,400,2400,2023-5-28 15-12-18, 
2300007,2300007,1,10008000,DeodLeaser,1,15400,300,15100,2023-5-28 15-12-24, 
2300007,2300007,2,10009001,G5 Slimming Applicators,1,2800,255,2545,2023-5-28 15-12-24, 
2300007,2300007,3,10014000,Konmision,1,39200,1200,38000,2023-5-28 15-12-24, 
2300008,2300008,1,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,700,7000,2023-5-28 15-12-31, 
2300008,2300008,2,10004002,RF Fractional CO2 Laser - Accessories,4,1400,1600,4000,2023-5-28 15-12-31, 
2300009,2300009,1,10004000,RF Fractional CO2 Laser,1,81900,2900,79000,2023-5-28 15-12-37, 
