soRefSt,opnCloSt,traDate,action
2300001,Open,2023-5-28 15-11-39, 
2300002,Open,2023-5-28 15-11-47, 
2300003,Open,2023-5-28 15-11-54, 
2300004,Open,2023-5-28 15-12-2, 
2300005,Open,2023-5-28 15-12-10, 
2300006,Open,2023-5-28 15-12-18, 
2300007,Open,2023-5-28 15-12-24, 
2300008,Open,2023-5-28 15-12-31, 
2300009,Open,2023-5-28 15-12-37, 
2300010,Open,2023-5-28 15-12-42, 
2300011,Open,2023-5-28 15-12-48, 
2300012,Open,2023-5-28 15-12-57, 
2300013,Open,2023-5-28 15-13-2, 
2300014,Open,2023-5-28 15-13-8, 
2300015,Open,2023-5-28 15-13-13, 
2300016,Open,2023-5-28 15-13-18, 
2300017,Open,2023-5-28 15-13-24, 
2300018,Open,2023-5-28 15-13-29, 
2300019,Open,2023-5-28 15-13-35, 
2300020,Open,2023-5-28 15-13-40, 
2300021,Open,2023-5-28 15-13-46, 
2300022,Open,2023-5-28 15-13-52, 
2300023,Open,2023-5-28 15-14-0, 
2300024,Open,2023-5-28 15-14-11, 
2300025,Open,2023-5-28 15-14-16, 
2300026,Open,2023-5-28 15-14-23, 
2300027,Open,2023-5-28 15-14-31, 
2300028,Open,2023-5-28 15-14-39, 
2300029,Open,2023-5-28 15-14-48, 
2300030,Open,2023-5-28 15-14-54, 
2300031,Open,2023-5-28 15-15-7, 
2300032,Open,2023-5-28 15-15-13, 
2300033,Open,2023-5-28 15-15-21, 
2300034,Open,2023-5-28 15-15-26, 
2300035,Open,2023-5-28 15-15-32, 
2300036,Open,2023-5-28 15-15-39, 
2300037,Open,2023-5-28 15-15-43, 
2300038,Open,2023-5-28 15-15-50, 
2300039,Open,2023-5-28 15-15-55, 
2300040,Open,2023-5-28 15-16-2, 
2300041,Open,2023-5-28 15-16-10, 
2300042,Open,2023-5-28 15-16-16, 
2300043,Open,2023-5-28 15-16-21, 
2300044,Open,2023-5-28 15-16-27, 
2300045,Open,2023-5-28 15-16-32, 
2300046,Open,2023-5-28 15-16-37, 
2300047,Open,2023-5-28 15-16-42, 
2300048,Open,2023-5-28 15-17-12, 
2300049,Open,2023-5-28 15-17-17, 
2300050,Open,2023-5-28 15-17-21, 
2300051,Open,2023-5-28 15-17-26, 
2300052,Open,2023-5-28 15-17-32, 
2300053,Open,2023-5-28 15-17-36, 
2300054,Open,2023-5-28 15-17-41, 
2300055,Open,2023-5-28 15-17-46, 
2300056,Open,2023-5-28 15-17-52, 
2300057,Open,2023-5-28 15-17-57, 
2300058,Open,2023-5-28 15-18-1, 
2300059,Open,2023-5-28 15-18-6, 
2300060,Open,2023-5-28 15-18-10, 
2300061,Open,2023-5-28 15-18-15, 
2300062,Open,2023-5-28 15-18-20, 
2300063,Open,2023-5-28 15-18-26, 
2300064,Open,2023-5-28 15-18-30, 
2300065,Open,2023-5-28 15-18-35, 
2300066,Open,2023-5-28 15-18-40, 
2300067,Open,2023-5-28 15-18-45, 
2300068,Open,2023-5-28 15-18-50, 
2300069,Open,2023-5-28 15-18-55, 
2300070,Open,2023-5-28 15-19-0, 
2300071,Open,2023-5-28 15-19-6, 
2300072,Open,2023-5-28 15-19-15, 
2300073,Open,2023-5-28 15-19-21, 
2300074,Open,2023-5-28 15-19-34, 
2300075,Open,2023-5-28 15-19-39, 
2300076,Open,2023-5-28 15-19-47, 
2300077,Open,2023-5-28 15-19-54, 
2300078,Open,2023-5-28 15-19-58, 
2300079,Open,2023-5-28 15-20-3, 
2300080,Open,2023-5-28 15-20-7, 
2300081,Open,2023-5-28 15-20-12, 
2300082,Open,2023-5-28 15-20-17, 
2300083,Open,2023-5-28 15-20-23, 
2300084,Open,2023-5-28 15-20-28, 
2300085,Open,2023-5-28 15-20-33, 
2300086,Open,2023-5-28 15-20-37, 
2300087,Open,2023-5-28 15-20-42, 
2300088,Open,2023-5-28 15-20-45, 
2300089,Open,2023-5-28 15-20-50, 
2300090,Open,2023-5-28 15-20-54, 
2300091,Open,2023-5-28 15-20-58, 
2300092,Open,2023-5-28 15-21-3, 
2300093,Open,2023-5-28 15-21-8, 
2300094,Open,2023-5-28 15-21-13, 
2300095,Open,2023-5-28 15-21-19, 
2300096,Open,2023-5-28 15-21-24, 
2300097,Open,2023-5-28 15-21-29, 
2300098,Open,2023-5-28 15-21-33, 
2300099,Open,2023-5-28 15-21-38, 
2300100,Open,2023-5-28 15-21-42, 
2300101,Open,2023-5-28 15-21-46, 
2300102,Open,2023-5-28 15-21-50, 
2300103,Open,2023-5-28 15-21-54, 
2300104,Open,2023-5-28 15-21-59, 
2300105,Open,2023-5-28 15-22-4, 
2300106,Open,2023-5-28 15-22-9, 
2300107,Open,2023-5-28 15-22-13, 
2300108,Open,2023-5-28 15-22-17, 
2300109,Open,2023-5-28 15-22-21, 
2300110,Open,2023-5-28 15-22-25, 
2300111,Open,2023-5-28 15-22-28, 
2300112,Open,2023-5-28 15-22-35, 
2300113,Open,2023-5-28 15-22-39, 
2300114,Open,2023-5-28 15-22-44, 
2300115,Open,2023-5-28 15-22-49, 
2300116,Open,2023-5-28 15-22-54, 
2300117,Open,2023-5-28 15-23-1, 
2300118,Open,2023-5-28 15-23-5, 
2300119,Open,2023-5-28 15-23-10, 
2300120,Open,2023-5-28 15-23-14, 
2300121,Open,2023-5-28 15-23-19, 
2300122,Open,2023-5-28 15-23-25, 
2300123,Open,2023-5-28 15-23-30, 
2300124,Open,2023-5-28 15-23-34, 
2300125,Open,2023-5-28 15-23-40, 
2300126,Open,2023-5-28 15-23-44, 
2300127,Open,2023-5-28 15-23-47, 
2300128,Open,2023-5-28 15-23-52, 
