qotRefSt,opnCloSt,traDate,action
2300001,Open,2023-5-28 2-54-35, 
2300002,Open,2023-5-28 2-56-52, 
2300003,Open,2023-5-28 2-58-28, 
2300004,Open,2023-5-28 3-0-34, 
2300005,Open,2023-5-28 3-2-26, 
2300006,Open,2023-5-28 3-4-40, 
2300007,Open,2023-5-28 3-7-55, 
2300008,Open,2023-5-28 3-14-18, 
2300009,Open,2023-5-28 3-16-53, 
2300010,Open,2023-5-28 3-19-16, 
2300011,Open,2023-5-28 3-22-7, 
2300012,Open,2023-5-28 3-24-49, 
2300013,Open,2023-5-28 3-27-6, 
2300014,Open,2023-5-28 3-28-36, 
2300015,Open,2023-5-28 3-31-43, 
2300016,Open,2023-5-28 3-34-17, 
2300017,Open,2023-5-28 3-35-36, 
2300018,Open,2023-5-28 3-37-17, 
2300019,Open,2023-5-28 3-38-42, 
2300020,Open,2023-5-28 3-40-43, 
2300021,Open,2023-5-28 3-42-10, 
2300022,Open,2023-5-28 3-45-5, 
2300023,Open,2023-5-28 3-48-11, 
2300024,Open,2023-5-28 3-50-31, 
2300025,Open,2023-5-28 3-57-53, 
2300026,Open,2023-5-28 3-59-12, 
2300027,Open,2023-5-28 4-0-22, 
2300028,Open,2023-5-28 4-1-44, 
2300029,Open,2023-5-28 4-3-31, 
2300030,Open,2023-5-28 4-5-2, 
2300031,Open,2023-5-28 4-6-20, 
2300032,Open,2023-5-28 4-7-27, 
2300033,Open,2023-5-28 4-8-58, 
2300034,Open,2023-5-28 4-10-39, 
2300035,Open,2023-5-28 4-11-47, 
2300036,Open,2023-5-28 4-14-33, 
2300037,Open,2023-5-28 4-16-36, 
2300038,Open,2023-5-28 4-17-42, 
2300039,Open,2023-5-28 4-18-43, 
2300040,Open,2023-5-28 4-20-19, 
2300041,Open,2023-5-28 4-21-16, 
2300042,Open,2023-5-28 4-22-29, 
2300043,Open,2023-5-28 4-23-58, 
2300044,Open,2023-5-28 4-25-20, 
2300045,Open,2023-5-28 4-26-49, 
2300047,Open,2023-5-28 4-26-51, 
2300048,Open,2023-5-28 4-23-53, 
2300049,Open,2023-5-28 4-23-55, 
2300050,Open,2023-5-28 4-23-57, 
2300051,Open,2023-5-28 4-23-59, 
2300052,Open,2023-5-28 4-24-1, 
2300053,Open,2023-5-28 4-24-3, 
2300054,Open,2023-5-28 4-24-5, 
2300055,Open,2023-5-28 4-24-7, 
2300056,Open,2023-5-28 4-24-9, 
2300057,Open,2023-5-28 4-24-11, 
2300058,Open,2023-5-28 4-24-13, 
2300059,Open,2023-5-28 4-24-15, 
2300060,Open,2023-5-28 4-24-17, 
2300061,Open,2023-5-28 4-24-19, 
2300062,Open,2023-5-28 4-24-21, 
2300063,Open,2023-5-28 4-24-23, 
2300064,Open,2023-5-28 4-24-25, 
2300065,Open,2023-5-28 4-24-27, 
2300066,Open,2023-5-28 4-24-29, 
2300067,Open,2023-5-28 4-24-31, 
2300068,Open,2023-5-28 4-24-33, 
2300069,Open,2023-5-28 4-24-35, 
2300070,Open,2023-5-28 4-24-37, 
2300071,Open,2023-5-28 4-24-39, 
2300072,Open,2023-5-28 4-24-41, 
2300073,Open,2023-5-28 4-24-43, 
2300074,Open,2023-5-28 4-24-45, 
2300075,Open,2023-5-28 4-24-47, 
2300076,Open,2023-5-28 4-24-49, 
2300077,Open,2023-5-28 4-24-51, 
2300078,Open,2023-5-28 4-24-53, 
2300079,Open,2023-5-28 4-24-55, 
2300080,Open,2023-5-28 4-24-57, 
2300081,Open,2023-5-28 4-24-59, 
2300082,Open,2023-5-28 4-25-1, 
2300083,Open,2023-5-28 4-25-3, 
2300084,Open,2023-5-28 4-25-5, 
2300085,Open,2023-5-28 4-25-7, 
2300086,Open,2023-5-28 4-25-9, 
2300087,Open,2023-5-28 4-25-11, 
2300088,Open,2023-5-28 4-25-13, 
2300089,Open,2023-5-28 4-25-15, 
2300090,Open,2023-5-28 4-25-17, 
2300091,Open,2023-5-28 4-25-19,
