id,dlRef,dlDat,cusCode,cusName,dlTBD,dlTAD,dlTax,dlTAT,shipTo,dlComm,opnClo,spName,spCode,soRef,soDat,traDate,action
2300000,2300000,,,,,,,,,,,,,,,,
2300001,2300001,1/30/2023,22310182,Spaces Spa Center,5460,4800,240,5040,Oasis Center Dubai United Arab Emirates,SVTA Radio Hand Pice 1 to Spaces Spa Center,Open,Ariel Abapo Naciogoyo,370,2300004,1/24/2023,2023-5-29 21-39-54, 
2300002,2300002,1/18/2023,22310029,Al Jameya Pharmacy,51415,45400,2270,47670,Union Cooperative Society  Ghusais,Microneedling RF and RF Fractional Laser to Al Jameya Pharmacy,Open,Allen Joseph Anora,365,2300006,1/14/2023,2023-5-29 21-40-11, 
2300003,2300003,1/23/2023,22310093,Women's Medical Center (Dr. Ameena),36190,33075,1654,34729,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,Microneedling RF and HandPiece to Women's Medical Center (Dr. Ameena),Open,Ariel Abapo Naciogoyo,370,2300011,1/17/2023,2023-5-29 21-40-26, 
2300004,2300004,1/28/2023,22310055,Al Noor Pharmacy,89600,86400,4320,90720,Mina,RF Fractional CO2 Laser and Handpiece to Al Noor Pharmacy,Open,Franco Viola Parota,366,2300009,1/16/2023,2023-5-29 21-40-46, 
2300005,2300005,2/16/2023,22310200,German Clinic FZ LLC,7700,5500,275,5775,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,SVTA Radio Hand Pice 3 & 4,Open,Dev Kumar Rai,894,2300010,2/7/2023,2023-5-29 21-41-3, 
2300006,2300006,1/22/2023,22310029,Al Jameya Pharmacy,57400,55645,2782,58427,Union Cooperative Society  Ghusais,Deod Leaserto Al Jameya Pharmacy,Open,Ariel Abapo Naciogoyo,370,2300007,1/16/2023,2023-5-29 21-43-44, 
2300007,2300007,2/27/2023,22310097,Sahar Pharmacy,31640,27910,1396,29306,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,SVTA Radio and Hand Pice 7 & 8 Sahar Pharmacy,Open,Allen Joseph Anora,365,2300003,2/4/2023,2023-5-29 21-44-5, 
2300008,2300008,2/11/2023,22310200,German Clinic FZ LLC,42700,38000,1900,39900,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,Crio Lipo and DeodLeaser Hand Piece to German Clinic FZ LLC,Open,Dev Kumar Rai,894,2300012,2/7/2023,2023-5-29 21-44-24, 
2300009,2300009,2/7/2023,22310131,Ali Bin Ali Medical,38500,33800,1690,35490,Doha Qatar,Crio Lipo & DeodLeaser Hand Piece to Ali Bin Ali Medical,Open,Sanjay Kumar Mandal,329,2300015,1/31/2023,2023-5-29 21-45-4, 
