id,siRef,sno,itmCod,desc,qty,price,disc,tot,traDate,action
2300001,2300001,1,10001000,Microneedling RF,1,31465,2465,29000,2023-5-29 22-27-46,
2300001,2300001,2,10001001,Microneedling RF - HandPiece,1,4725,650,4075,2023-5-29 22-27-46,
2300002,2300002,1,10004000,RF Fractional CO2 Laser,1,81900,2900,79000,2023-5-29 22-28-1,
2300002,2300002,2,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,300,7400,2023-5-29 22-28-1,
2300003,2300003,1,10018001,SVTA Radio Hand Pice 1,2,1680,360,3000,2023-5-29 22-28-14,
2300003,2300003,2,10018002,SVTA Radio Hand Pice 2,1,2100,300,1800,2023-5-29 22-28-14,
2300004,2300004,1,10001000,Microneedling RF,1,31465,2465,29000,2023-5-29 22-28-39,
2300004,2300004,2,10001001,Microneedling RF - HandPiece,2,4725,1450,8000,2023-5-29 22-28-39,
2300004,2300004,3,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,1700,6000,2023-5-29 22-28-39,
2300004,2300004,4,10004002,RF Fractional CO2 Laser - Accessories,2,1400,400,2400,2023-5-29 22-28-39,
2300005,2300005,1,10018007,SVTA Radio Hand Pice 7,2,2520,500,4540,2023-5-29 22-28-59,
2300005,2300005,2,10018008,SVTA Radio Hand Pice 8,1,1400,30,1370,2023-5-29 22-28-59,
2300005,2300005,3,10018000,SVTA Radio,1,25200,3200,22000,2023-5-29 22-28-59,
2300006,2300006,1,10018003,SVTA Radio Hand Pice 3,3,1960,1880,4000,2023-5-29 22-29-9,
2300006,2300006,2,10018004,SVTA Radio Hand Pice 4,1,1820,320,1500,2023-5-29 22-29-9,
2300007,2300007,1,10008000,DeodLeaser,1,15400,300,15100,2023-5-29 22-29-30,
2300007,2300007,2,10009001,G5 Slimming Applicators,1,2800,255,2545,2023-5-29 22-29-30,
2300007,2300007,3,10014000,Konmision,1,39200,1200,38000,2023-5-29 22-29-30,
2300008,2300008,1,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,500,7200,2023-5-29 22-29-42,
