id,soRef,sno,itmCod,desc,qty,price,disc,tot,vat,traDate,action
2300001,2300001,1,10008000,DeodLeaser,1,15400,2400,13650.0,650.0,2023-5-28 15-11-39, 
2300001,2300001,2,10009001,G5 Slimming Applicators,1,2800,240,2688.0,128.0,2023-5-28 15-11-39, 
2300002,2300002,1,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,500,7560.0,360.0,2023-5-28 15-11-47, 
2300002,2300002,2,10004002,RF Fractional CO2 Laser - Accessories,2,1400,20,2919.0,139.0,2023-5-28 15-11-47, 
2300003,2300003,1,10018007,SVTA Radio Hand Pice 7,2,2520,500,4767.0,227.0,2023-5-28 15-11-54, 
2300003,2300003,2,10018008,SVTA Radio Hand Pice 8,1,1400,30,1438.5,68.5,2023-5-28 15-11-54, 
2300003,2300003,3,10018000,SVTA Radio,1,25200,3200,23100.0,1100.0,2023-5-28 15-11-54, 
2300004,2300004,1,10018001,SVTA Radio Hand Pice 1,2,1680,360,3150.0,150.0,2023-5-28 15-12-2, 
2300004,2300004,2,10018002,SVTA Radio Hand Pice 2,1,2100,300,1890.0,90.0,2023-5-28 15-12-2, 
2300005,2300005,1,10017000,SPA Slim,1,8400,400,8400.0,400.0,2023-5-28 15-12-10, 
2300005,2300005,2,10018001,SVTA Radio Hand Pice 1,2,1680,360,3150.0,150.0,2023-5-28 15-12-10, 
2300006,2300006,1,10001000,Microneedling RF,1,31465,2465,30450.0,1450.0,2023-6-7 1-52-9, 
2300006,2300006,2,10001001,Microneedling RF - HandPiece,2,4725,1450,8400.0,400.0,2023-6-7 1-52-9, 
2300006,2300006,3,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,1700,6300.0,300.0,2023-6-7 1-52-9, 
2300006,2300006,4,10004002,RF Fractional CO2 Laser - Accessories,2,1400,400,2520.0,120.0,2023-6-7 1-52-9, 
2300007,2300007,1,10008000,DeodLeaser,1,15400,300,15855.0,755.0,2023-5-28 15-12-24, 
2300007,2300007,2,10009001,G5 Slimming Applicators,1,2800,255,2672.25,127.25,2023-5-28 15-12-24, 
2300007,2300007,3,10014000,Konmision,1,39200,1200,39900.0,1900.0,2023-5-28 15-12-24, 
2300008,2300008,1,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,700,7350.0,350.0,2023-5-28 15-12-31, 
2300008,2300008,2,10004002,RF Fractional CO2 Laser - Accessories,4,1400,1600,4200.0,200.0,2023-5-28 15-12-31, 
2300009,2300009,1,10004000,RF Fractional CO2 Laser,1,81900,2900,82950.0,3950.0,2023-5-28 15-12-37, 
2300009,2300009,2,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,300,7770.0,370.0,2023-5-28 15-12-37, 
2300010,2300010,1,10018003,SVTA Radio Hand Pice 3,3,1960,1880,4200.0,200.0,2023-5-28 15-12-42, 
2300010,2300010,2,10018004,SVTA Radio Hand Pice 4,1,1820,320,1575.0,75.0,2023-5-28 15-12-42, 
2300011,2300011,1,10001000,Microneedling RF,1,31465,2465,30450.0,1450.0,2023-5-28 15-12-48, 
