id,qotRef,qotDat,cusCode,cusName,qotTBD,qotTAD,qotTax,qotTAT,shipTo,qotComm,spCode,spName,opnClo,traDate,action,
2300000,2300000,,,,,,,,,,,,,,,
2300001,2300001,4/11/2023,22310029,Al Jameya Pharmacy,400295,340200,17010,357210,Union Cooperative Society  Ghusais,"Microneedling RF,  RF Fractional CO2 Laser, Portable Diode Laser Hair Removal Equipment with hand piece to Al Jameya Pharmacy",329,Sanjay Kumar Mandal,Open,2023-5-22 23-15-29,,
2300002,2300002,4/20/2023,22310055,Al Noor Pharmacy,298410,260000,13000,273000,Mina Road Sharjah Industrial Area 6,"Microneedling RF, Caviation Laser and Crio Lipo to Al Noor Pharmacy",345,Pune Pratap Panjiyar,Open,2023-5-22 23-17-59,,
2300003,2300003,4/20/2023,22310093,Women's Medical Center (Dr. Ameena),79100,68000,3400,71400,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,SVTA Radio and All Hand Pieces Women's Medical Center (Dr. Ameena),365,Allen Joseph Anora,Open,2023-5-22 23-20-26,,
2300004,2300004,4/22/2023,22310097,Sahar Pharmacy,203800,166000,8300,174300,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,"VCA Laser, Mickcara, My Ultrasonic and SPA Slim to Sahar Pharmacy.",366,Franco Viola Parota,Open,2023-5-22 23-22-45,,
2300005,2300005,1/2/2023,22310029,Al Jameya Pharmacy,184800,143000,7150,150150,Union Cooperative Society  Ghusais,"Bruun Mci, Caviation Laser, Crio Lipo and other Products to Al Jameya Pharmacy",366,Franco Viola Parota,Open,2023-5-22 23-26-39,,
2300006,2300006,1/11/2023,22310131,Ali Bin Ali Medical,258300,225000,11250,236250,Doha Qatar,"RF Fractional CO2 Laser, Bruun Mci, Crio Lipo to Ali Bin Ali Medical",415,Tampos Antonio Magalona,Open,2023-5-22 23-29-22,,
2300007,2300007,1/16/2023,22310133,Al Samnan Clinic,163100,148080,7404,155484,Al Wasit Street Samnan Sharjah United Arab Emirates,"Microneedling RF,  Microneedling RF - HandPiece, Diode Laser Hair Removal Device to Al Samnan Clinic",345,Pune Pratap Panjiyar,Open,2023-5-22 23-33-18,,
2300008,2300008,1/19/2023,22310055,Al Noor Pharmacy,111300,88000,4400,92400,Mina Road Sharjah Industrial Area 6,"Bruun Mci, Caviation Laser to Al Noor Pharmacy",329,Sanjay Kumar Mandal,Open,2023-5-22 23-34-38,,
2300009,2300009,1/23/2023,22310029,Al Jameya Pharmacy,75600,61000,3050,64050,Union Cooperative Society  Ghusais,"Crio Lipo, DeodLeaser Hand Piece, DeodLeaser to Al Jameya Pharmacy",370,Ariel Abapo Naciogoyo,Open,2023-5-22 23-36-7,,
2300010,2300010,1/26/2023,22310207,Delta Pharmacy,39480,31000,1550,32550,Sharjah United Arab Emirates,"DeodLeaser Hand Piece, SPA Slim to Delta Pharmacy",329,Sanjay Kumar Mandal,Open,2023-5-22 23-38-3,,
