qotRefSt,opnCloSt,traDate,action
2300001,Open,2023-5-22 23-15-29, 
2300002,Open,2023-5-22 23-17-59, 
2300003,Open,2023-5-22 23-20-26, 
2300004,Open,2023-5-22 23-22-45, 
2300005,Open,2023-5-22 23-26-39, 
2300006,Open,2023-5-22 23-29-22, 
2300007,Open,2023-5-22 23-33-18, 
2300008,Open,2023-5-22 23-34-38, 
2300009,Open,2023-5-22 23-36-7, 
2300010,Open,2023-5-22 23-38-3, 
2300011,Open,2023-5-22 23-39-42, 
2300012,Open,2023-5-22 23-41-16, 
2300013,Open,2023-5-22 23-45-34, 
2300016,Open,2023-4-22 23-15-29, 
2300017,Open,2023-4-22 23-17-59, 
2300018,Open,2023-4-22 23-20-26, 
2300019,Open,2023-4-22 23-22-45, 
2300020,Open,2023-4-22 23-26-39, 
2300021,Open,2023-4-22 23-29-22, 
2300022,Open,2023-4-22 23-33-18, 
2300023,Open,2023-4-22 23-34-38, 
2300024,Open,2023-4-22 23-36-7, 
2300025,Open,2023-4-22 23-38-3, 
2300026,Open,2023-4-22 23-39-42, 
2300027,Open,2023-4-22 23-41-16, 
2300028,Open,2023-4-22 23-45-34, 
,,, 
,,, 
