id,code,head,level1,level2,level3,level4,opening,debit,credit,closing
22420001,22420001,Equipments (Demo),1. Assets,1. Non Current Assets,1. Property and Equipment,Equipments (Demo),22025294,22025294,0,
22620003,22620003,Depr. Equipments (Demo),1. Assets,1. Non Current Assets,1. Property and Equipment,Equipments (Demo),-20001779,0,-20001779,
22620001,22620001,Office Equipments,1. Assets,1. Non Current Assets,1. Property and Equipment,Computer hardware,270841,270841,0,
28240001,28240001,Depr. office Equipments,1. Assets,1. Non Current Assets,1. Property and Equipment,Computer hardware,-209851,0,-209851,
22620002,22620002,Computer hardware,1. Assets,1. Non Current Assets,1. Property and Equipment,Computer hardware,559397,559397,0,
28240002,28240002,Depr. Computers Hardware,1. Assets,1. Non Current Assets,1. Property and Equipment,Computer hardware,-372604,0,-372604,
22500001,22500001,Moter Vehicle,1. Assets,1. Non Current Assets,1. Property and Equipment,Motor Vehicles,1238620,1238620,0,
28250001,28250001,Depr. Motor Vehicles,1. Assets,1. Non Current Assets,1. Property and Equipment,Motor Vehicles,-1145790,0,-1145790,
22620004,22620004,Computer Software,1. Assets,1. Non Current Assets,2. Intangible Assets,Computer Software,618857,618857,0,
22620005,22620005,Dep Computer Software,1. Assets,1. Non Current Assets,2. Intangible Assets,Computer Software,-488655,0,-488655,
37000001,37000001,Inventory at Cost,1. Assets,2. Current Assets,1. Inventories,Goods in Warehouse,47171303,47171303,0,
37000002,37000002,Goods Shipped But Not Billed,1. Assets,2. Current Assets,1. Inventories,Goods in Warehouse,-1744098,0,-1744098,
39700001,39700001,Provision for Obsolete / Slow Moving Items,1. Assets,2. Current Assets,1. Inventories,Goods in Warehouse,-15535798,0,-15535798,
41000003,41000003,Goods In Transit,1. Assets,2. Current Assets,1. Inventories,Goods in Transit,111243,111243,0,
41119999,41119999,Debtors having Credit Balance,1. Assets,2. Current Assets,3. Trade Receivables,Trade Receivables,2737655,2737655,0,
41150001,41150001,Doubtful Debits Allowance,1. Assets,2. Current Assets,3. Trade Receivables,Trade Receivables,-6031376,0,-6031376,
51120001,51120001,Cheque Received Not Deposit,1. Assets,2. Current Assets,3. Trade Receivables,Post Dated Cheque Receivable,7016691,7016691,0,
41300001,41300001,PDC Receivable in Bank Custody,1. Assets,2. Current Assets,3. Trade Receivables,Post Dated Cheque Receivable,0,0,0,
41200001,41200001,Prepaid Expenses,1. Assets,2. Current Assets,4. Other Receivables,Prepaid Expenses,944631,944631,0,
41200104,41200104,Refundable Deposit Facility BOS,1. Assets,2. Current Assets,4. Other Receivables,Refundable Deposits,550800,550800,0,
41600134,41600134,Hafiz Umer KSA,1. Assets,2. Current Assets,4. Other Receivables,Refundable Deposits,0,0,0,
41600136,41600136,Nidaa Mresh,1. Assets,2. Current Assets,4. Other Receivables,Refundable Deposits,0,0,0,
41600038,41600038,Joseph Zgheib,1. Assets,2. Current Assets,4. Other Receivables,Staff Advance,0,0,0,
44980002,44980002,Accrued Income,1. Assets,2. Current Assets,4. Other Receivables,Advances To Suppliers,25374,25374,0,
41700111,41700111,Advance For SAP Software,1. Assets,2. Current Assets,4. Other Receivables,Advances To Suppliers,0,0,0,
41709999,41709999,Transfer - Creditors having Debit Balance,1. Assets,2. Current Assets,4. Other Receivables,Advances To Suppliers,2634896,2634896,0,
41700118,41700118,Advances to Tania Nassar,1. Assets,2. Current Assets,4. Other Receivables,Other Receivables,0,0,0,
45110011,45110011,Apex Catering Services LLC,1. Assets,2. Current Assets,2. Due From Related Parties,Due From Related Parties,0,0,0,
45110004,45110004,AFF Restaurant LLC,1. Assets,2. Current Assets,2. Due From Related Parties,Due From Related Parties,0,0,0,
41200101,41200101,Fixed Deposit BOS AED (01366-278390),1. Assets,2. Current Assets,5. Other Financial Assets,Other Financial Assets,0,0,0,
42810004,42810004,Cash A/C,1. Assets,2. Current Assets,6. Cash and Cash Equivalents,Cash in Hand,10739,10739,0,
51210001,51210001,BANK OF SHARJAH ( 011-06-277565) DH,1. Assets,2. Current Assets,6. Cash and Cash Equivalents,Cash at Bank,0,0,0,
51210024,51210024,ENBD AED 1014677278701,1. Assets,2. Current Assets,6. Cash and Cash Equivalents,Cash at Bank,297710,297710,0,
10130001,10130001,Subscribed capital (called and paid up) - Tania FZ Capital,2. Equity,1. Equity,1. Share Capital,Share Capital,-40000,0,-40000,
10130003,10130003,Jamal Lootah Capital,2. Equity,1. Equity,1. Share Capital,Share Capital,-153000,0,-153000,
11110001,11110001,Statutory Reserve,2. Equity,1. Equity,2. Statutory Reserve,Statutory Reserve,-150000,0,-150000,
12110001,12110001,Retained Earnings,2. Equity,1. Equity,4. Retained Earnings,Retained Earnings,5962969,5962969,0,
12110002,12110002,Dividend,2. Equity,1. Equity,4. Retained Earnings,Retained Earnings,28163481,28163481,0,
12119999,12119999,Last year profit,2. Equity,1. Equity,4. Retained Earnings,Retained Earnings,94073079,94073079,0,
43100001,43100001,Staff Gratuity,3. Liabilities,1. Non Current Liabilities,1. Employees' End of Service Indemnity,Employees' End of Service Indemnity,-2419618,0,-2419618,
51900014,51900014,Lease Liability,3. Liabilities,2. Current Liabilities,3. Liabilities against subject to finance lease,Liabilities against subject to finance lease,-2849838,0,-2849838,
51900005,51900005,Blom Bank Auto Loan,3. Liabilities,2. Current Liabilities,3. Liabilities against subject to finance lease,Liabilities against subject to finance lease,0,0,0,
40110002,40110002,A3 DESIGN LLC,3. Liabilities,2. Current Liabilities,1. Trade Payables,Trade Payables,0,0,0,
40150001,40150001,PDC Payables A/C,3. Liabilities,2. Current Liabilities,2. Other Payables,PDC Cheques Payable,-528425,0,-528425,
40150002,40150002,LC Payable A/C,3. Liabilities,2. Current Liabilities,2. Other Payables,PDC Cheques Payable,6379308,6379308,0,
42120001,42120001,Accrued Salaries,3. Liabilities,2. Current Liabilities,2. Other Payables,Accruals,-283312,0,-283312,
42810003,42810003,Security Deposit ( from customers),3. Liabilities,2. Current Liabilities,2. Other Payables,Accruals,0,0,0,
44280001,44280001,VAT Output Tax Payable,3. Liabilities,2. Current Liabilities,2. Other Payables,Accruals,-298116,0,-298116,
44280002,44280002,VAT Output Tax Exports,3. Liabilities,2. Current Liabilities,2. Other Payables,Accruals,0,0,0,
42830002,42830002,VAT Input Tax Imports,3. Liabilities,2. Current Liabilities,2. Other Payables,Accruals,3521357,3521357,0,
44280003,44280003,VAT Output Tax Reverse Charge Mechanism (RCM),3. Liabilities,2. Current Liabilities,2. Other Payables,Accruals,-3521357,0,-3521357,
42830001,42830001,VAT Input Tax Receivable,3. Liabilities,2. Current Liabilities,2. Other Payables,Accruals,34240,34240,0,
44280004,44280004,VAT Net Settlement,3. Liabilities,2. Current Liabilities,2. Other Payables,Accruals,0,0,0,
42830003,42830003,VAT Input 5% Tax Receivable,3. Liabilities,2. Current Liabilities,2. Other Payables,Accruals,107205,107205,0,
51900001,51900001,Blom Bank Trust Receipt 052-00713578402020,3. Liabilities,2. Current Liabilities,4. Bank Borrowings,Bank Borrowings,-6174000,0,-6174000,
51900002,51900002,Blom Loan Against PDC,3. Liabilities,2. Current Liabilities,4. Bank Borrowings,Bank Borrowings,-2417287,0,-2417287,
51900007,51900007,Bank of Sharjah TR Margin,3. Liabilities,2. Current Liabilities,4. Bank Borrowings,Bank Borrowings,0,0,0,
521100001,521100001,Glow Holding Ltd,3. Liabilities,2. Current Liabilities,5. Due to related parties,Due to related parties,0,0,0,
70120002,70120002,Cash Sales,4. Profit and Loss,1. Sales,1. Sales,Sales,0,0,0,
70120001,70120001,Credit Sales,4. Profit and Loss,1. Sales,1. Sales,Sales,-186550577,0,-186550577,
70120100,70120100,Sales Discount,4. Profit and Loss,1. Sales,1. Sales,Sales Related,142260,142260,0,
60110001,60110001,Cogs1,4. Profit and Loss,2. Cost of Sales,1. Cost of Sales,Cost of Sales,139926764,139926764,0,
12110005,12110005,Stock Shortage,4. Profit and Loss,2. Cost of Sales,1. Cost of Sales,Cost Related,0,0,0,
60110101,60110101,Direct Costs,4. Profit and Loss,2. Cost of Sales,1. Cost of Sales,Cost Related,823766,823766,0,
63200017,63200017,Exchange rate diff.,4. Profit and Loss,3. Other Income,1. Other Income,Other Income,-722529,0,-722529,
77270005,77270005,Gain on Disposal of Fixed Asset,4. Profit and Loss,3. Other Income,1. Other Income,Other Income,-3806643,0,-3806643,
63110001,63110001,Salaries -selling,4. Profit and Loss,4. Direct Expenses,1. Salaries and Related Cost,Salaries and Related Cost,12495534,12495534,0,
63110009,63110009,Medical Insurance-Selling,4. Profit and Loss,4. Direct Expenses,1. Salaries and Related Cost,Salaries and Related Cost,245727,245727,0,
63200043,63200043,Visa & Immigration expenses-Selling,4. Profit and Loss,4. Direct Expenses,1. Salaries and Related Cost,Salaries and Related Cost,163204,163204,0,
63140002,63140002,Commission - selling,4. Profit and Loss,4. Direct Expenses,2. Sales Commission,Sales Commission,3794026,3794026,0,
63140001,63140001,Bonuses-selling,4. Profit and Loss,4. Direct Expenses,3. Bonus,Bonus,53500,53500,0,
63500001,63500001,Graduity -selling,4. Profit and Loss,4. Direct Expenses,4. Gratuity Provision,Gratuity Provision,318169,318169,0,
63200002,63200002,Leave salaries &air tickets-selling,4. Profit and Loss,4. Direct Expenses,5. Leave salaries &air tickets,Leave salaries &air tickets,-230818,0,-230818,
63110007,63110007,Staff Air Ticket Allowance-Selling,4. Profit and Loss,4. Direct Expenses,5. Leave salaries &air tickets,Leave salaries &air tickets,168354,168354,0,
63200001,63200001,Training &seminars-selling,4. Profit and Loss,4. Direct Expenses,6. Selling and business promotion,Selling and business promotion,883906,883906,0,
63200003,63200003,Machine Demo Expenses,4. Profit and Loss,4. Direct Expenses,6. Selling and business promotion,Selling and business promotion,0,0,0,
63200006,63200006,Exhibitionand coferences,4. Profit and Loss,4. Direct Expenses,6. Selling and business promotion,Selling and business promotion,2461251,2461251,0,
63200010,63200010,Marketing,4. Profit and Loss,4. Direct Expenses,6. Selling and business promotion,Selling and business promotion,1691324,1691324,0,
63200032,63200032,Advertising,4. Profit and Loss,4. Direct Expenses,6. Selling and business promotion,Selling and business promotion,0,0,0,
62610003,62610003,Travelling -selling,4. Profit and Loss,4. Direct Expenses,8. Travelling and Vehicle maintenance,Travelling and Vehicle maintenance,490812,490812,0,
62620002,62620002,Rent -staff-selling,4. Profit and Loss,4. Direct Expenses,9. Rent,Rent,0,0,0,
62610001,62610001,Telecom-selling,4. Profit and Loss,4. Direct Expenses,10. Communications,Communications,117230,117230,0,
63110002,63110002,Salaries-admin,4. Profit and Loss,5. Indirect Expenses,1. Salaries and Related Cost,Salaries and Related Cost,10817691,10817691,0,
63110006,63110006,Staff other benefits,4. Profit and Loss,5. Indirect Expenses,1. Salaries and Related Cost,Salaries and Related Cost,291733,291733,0,
63110011,63110011,Salary Related Consultancy,4. Profit and Loss,5. Indirect Expenses,1. Salaries and Related Cost,Salaries and Related Cost,422263,422263,0,
63110010,63110010,Medical Insurance-Admin,4. Profit and Loss,5. Indirect Expenses,1. Salaries and Related Cost,Salaries and Related Cost,403619,403619,0,
63160002,63160002,Bonus to Management,4. Profit and Loss,5. Indirect Expenses,2. Bonus,Bonus,167947,167947,0,
63200014,63200014,Visa &immigration expenses,4. Profit and Loss,5. Indirect Expenses,3. Visa & Immigration,Visa & Immigration,165283,165283,0,
63110005,63110005,Gratuity admin,4. Profit and Loss,5. Indirect Expenses,4. Gratuity Provision,Gratuity Provision,300881,300881,0,
63110003,63110003,Leave salaries &air tickets-admin,4. Profit and Loss,5. Indirect Expenses,5. Leave Salaries and Tickets,Leave Salaries and Tickets,45220,45220,0,
63110008,63110008,Staff Air Ticket Allowance-Admin,4. Profit and Loss,5. Indirect Expenses,5. Leave Salaries and Tickets,Leave Salaries and Tickets,121899,121899,0,
63200019,63200019,Training & Seminars,4. Profit and Loss,5. Indirect Expenses,6. Training,Training,0,0,0,
63200005,63200005,Recruitment,4. Profit and Loss,5. Indirect Expenses,7. Recruitment,Recruitment,310687,310687,0,
63120001,63120001,Audit & professional fees,4. Profit and Loss,5. Indirect Expenses,"8. Legal, license and professional fee","Legal, license and professional fee",2462244,2462244,0,
63120002,63120002,Goverment Registrations,4. Profit and Loss,5. Indirect Expenses,"8. Legal, license and professional fee","Legal, license and professional fee",292045,292045,0,
63120004,63120004,Trade license,4. Profit and Loss,5. Indirect Expenses,"8. Legal, license and professional fee","Legal, license and professional fee",86148,86148,0,
63120005,63120005,Consultancy fee,4. Profit and Loss,5. Indirect Expenses,"8. Legal, license and professional fee","Legal, license and professional fee",639273,639273,0,
62610007,62610007,Travelling -admin,4. Profit and Loss,5. Indirect Expenses,9. Travelling and Vehicle maintenance,Travelling and Vehicle maintenance,456627,456627,0,
63200020,63200020,Salik Toll Gate,4. Profit and Loss,5. Indirect Expenses,9. Travelling and Vehicle maintenance,Travelling and Vehicle maintenance,45844,45844,0,
63200023,63200023,Fuel Expenses,4. Profit and Loss,5. Indirect Expenses,9. Travelling and Vehicle maintenance,Travelling and Vehicle maintenance,194631,194631,0,
63200024,63200024,Travel Expenses,4. Profit and Loss,5. Indirect Expenses,9. Travelling and Vehicle maintenance,Travelling and Vehicle maintenance,0,0,0,
62620003,62620003,Rent office and warehouses,4. Profit and Loss,5. Indirect Expenses,10. Rent,Rent,1593287,1593287,0,
61120002,61120002,Maintenance,4. Profit and Loss,5. Indirect Expenses,11. Office maintenance,Office maintenance,0,0,0,
63200034,63200034,Office cleaning &maint.,4. Profit and Loss,5. Indirect Expenses,11. Office maintenance,Office maintenance,365651,365651,0,
63200013,63200013,Bad debts,4. Profit and Loss,5. Indirect Expenses,12. Bad debts,Bad debts,530901,530901,0,
63200007,63200007,Insurance,4. Profit and Loss,5. Indirect Expenses,13. Insurance,Insurance,238296,238296,0,
79110006,79110006,Damaged Stock,4. Profit and Loss,5. Indirect Expenses,14. Provision for slow moving inventories,Provision for slow moving inventories,0,0,0,
62610006,62610006,Telecommunication-admin,4. Profit and Loss,5. Indirect Expenses,15. Communications,Communications,82604,82604,0,
63200021,63200021,Bank interest &charges,4. Profit and Loss,5. Indirect Expenses,16. Bank charges,Bank charges,946800,946800,0,
63200004,63200004,Stationary & Printing expenses,4. Profit and Loss,5. Indirect Expenses,17. Printing and stationery,Printing and stationery,108407,108407,0,
63200035,63200035,Other expenses,4. Profit and Loss,5. Indirect Expenses,18. Others,Others,401326,401326,0,
65110001,65110001,Amortization of other intangible fixed assets-tax accepted,4. Profit and Loss,6. Depreciation and amortiaztion,6. Depreciation and amortiaztion,Depreciation and amortiaztion,292615,292615,0,
65300001,65300001,Depreciation,4. Profit and Loss,6. Depreciation and amortiaztion,6. Depreciation and amortiaztion,Depreciation and amortiaztion,7560246,7560246,0,
67300002,67300002,Finance Cost,4. Profit and Loss,7. Finance Cost,7. Finance Cost,Finance Cost,111985,111985,0,
67300003,67300003,Finance Cost - TR,4. Profit and Loss,7. Finance Cost,7. Finance Cost,Finance Cost,2544832,2544832,0,
67300004,67300004,Finance Cost - Discounting,4. Profit and Loss,7. Finance Cost,7. Finance Cost,Finance Cost,387700,387700,0,
67300006,67300006,Finance Cost - Ubora Tower Interest,4. Profit and Loss,7. Finance Cost,7. Finance Cost,Finance Cost,119034,119034,0,
67300005,67300005,Finance Cost - OD,4. Profit and Loss,7. Finance Cost,7. Finance Cost,Finance Cost,441592,441592,0,
77360001,77360001,Finance Income,4. Profit and Loss,8. Finance Income,8. Finance Income,Finance Income,-61555,0,-61555,
